Structure	Number
conserved hypothetical protein batb	1
x-ray repair cross-complementing protein 6	2
von willebrand factor type a	1
integrin alpha-m	1
integrin alpha-l	4
ku70	1
aerotolerance-related membrane protein	1
26s proteasome regulatory subunit rpn10	9
von willebrand factor	3
general transcription factor iih subunit 2	2
integrin	1
hypothetical membrane spanning protein	2
general transcription factor iih subunit 2, p44	1
von willebrand factor (vwf) [contains: von willebrand antigen ii]	1
proximal thread matrix protein 1	2
26s proteasome non-atpase regulatory subunit 4	8
60-kda ss-a/ro ribonucleoprotein	3
ro sixty-related protein, rsr	1
vwa2	1
suppressor of stem-loop protein 1	2
integrin alpha m	1
anthrax toxin receptor 2	1
60 kda ss-a/ro ribonucleoprotein	1
