ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
ctx00260	Glycine, serine and threonine metabolism	3/23	19/924	0.0100744720754273	0.261936273961109	0.254512978747636	Clo1313_0867/Clo1313_2745/Clo1313_1938	3
ctx00240	Pyrimidine metabolism	3/23	29/924	0.0322713010726936	0.419526913945017	0.407637487234025	Clo1313_1891/Clo1313_0186/Clo1313_2559	3
ctx00520	Amino sugar and nucleotide sugar metabolism	3/23	44/924	0.0917059751510284	0.433577955718454	0.421290321345866	Clo1313_0489/Clo1313_3003/Clo1313_1832	3
ctx00500	Starch and sucrose metabolism	3/23	45/924	0.0966821705342304	0.433577955718454	0.421290321345866	Clo1313_0489/Clo1313_1816/Clo1313_1832	3
ctx00250	Alanine, aspartate and glutamate metabolism	2/23	22/924	0.101275280915773	0.433577955718454	0.421290321345866	Clo1313_3018/Clo1313_2559	2
ctx01120	Microbial metabolism in diverse environments	5/23	114/924	0.1429633493799	0.433577955718454	0.421290321345866	Clo1313_0489/Clo1313_0867/Clo1313_2745/Clo1313_1938/Clo1313_0296	5
ctx00270	Cysteine and methionine metabolism	2/23	29/924	0.160418023761698	0.433577955718454	0.421290321345866	Clo1313_1607/Clo1313_1938	2
ctx01200	Carbon metabolism	3/23	63/924	0.202667964547631	0.433577955718454	0.421290321345866	Clo1313_0489/Clo1313_2745/Clo1313_0296	3
ctx00010	Glycolysis / Gluconeogenesis	2/23	34/924	0.205928385899726	0.433577955718454	0.421290321345866	Clo1313_0489/Clo1313_2745	2
ctx00900	Terpenoid backbone biosynthesis	1/23	10/924	0.223780583494036	0.433577955718454	0.421290321345866	Clo1313_1218	1
ctx00052	Galactose metabolism	1/23	12/924	0.262375659277175	0.433577955718454	0.421290321345866	Clo1313_0489	1
ctx00760	Nicotinate and nicotinamide metabolism	1/23	12/924	0.262375659277175	0.433577955718454	0.421290321345866	Clo1313_3018	1
ctx01501	beta-Lactam resistance	1/23	13/924	0.280978027519089	0.433577955718454	0.421290321345866	Clo1313_2140	1
ctx01230	Biosynthesis of amino acids	4/23	111/924	0.294960874311965	0.433577955718454	0.421290321345866	Clo1313_0867/Clo1313_2745/Clo1313_1938/Clo1313_0296	4
ctx01110	Biosynthesis of secondary metabolites	7/23	220/924	0.295516792561218	0.433577955718454	0.421290321345866	Clo1313_0489/Clo1313_0867/Clo1313_2745/Clo1313_1218/Clo1313_1832/Clo1313_1938/Clo1313_0296	7
ctx02020	Two-component system	4/23	113/924	0.306818967721152	0.433577955718454	0.421290321345866	Clo1313_0937/Clo1313_0855/Clo1313_1816/Clo1313_1110	4
ctx01100	Metabolic pathways	14/23	496/924	0.314447911423274	0.433577955718454	0.421290321345866	Clo1313_0489/Clo1313_1891/Clo1313_0867/Clo1313_0186/Clo1313_2745/Clo1313_3018/Clo1313_1218/Clo1313_3003/Clo1313_2559/Clo1313_1816/Clo1313_1832/Clo1313_1607/Clo1313_1938/Clo1313_0296	14
ctx00030	Pentose phosphate pathway	1/23	15/924	0.31684542917887	0.433577955718454	0.421290321345866	Clo1313_0296	1
ctx00300	Lysine biosynthesis	1/23	15/924	0.31684542917887	0.433577955718454	0.421290321345866	Clo1313_1938	1
ctx00051	Fructose and mannose metabolism	1/23	16/924	0.334130968374564	0.434370258886934	0.422060170578397	Clo1313_1832	1
ctx02030	Bacterial chemotaxis	2/23	50/924	0.356700134696273	0.441628738195385	0.429112943995516	Clo1313_0937/Clo1313_2981	2
ctx03430	Mismatch repair	1/23	20/924	0.399180901863549	0.471759247656922	0.458389552379195	Clo1313_1201	1
ctx00550	Peptidoglycan biosynthesis	1/23	26/924	0.485483046289449	0.548806921892421	0.533253689288182	Clo1313_2140	1
ctx00680	Methane metabolism	1/23	30/924	0.536286137340735	0.580976648785796	0.564511723516563	Clo1313_2745	1
ctx00970	Aminoacyl-tRNA biosynthesis	2/23	86/924	0.648214938912007	0.674143536468487	0.655038254058449	Clo1313_0498/Clo1313_1434	2
ctx03010	Ribosome	1/23	67/924	0.826760448060766	0.826760448060766	0.803329990018558	Clo1313_0463	1
