Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4	LL1210_T1_rep1	LL1210_T1_rep2	LL1210_T1_rep3	LL1210_T1_rep4	LL1210_T2_rep1	LL1210_T2_rep2	LL1210_T2_rep3	LL1210_T2_rep4	LL1210_T3_rep1	LL1210_T3_rep2	LL1210_T3_rep3	LL1210_T3_rep4	LL1210_T4_rep1	LL1210_T4_rep2	LL1210_T4_rep3	LL1210_T4_rep4
WP_003517959.1	24.3355202409663	25.3698926053423	24.0828478882194	23.5814575436395	23.7834454851418	25.0916813324092	24.2899055663595	23.3194345497438	0	20.6021613808018	0	21.9260861833451	21.6314195143639	21.0254768848508	19.2113962313512	20.1048866077067	0	22.7176502556468	22.3054781452768	0	22.1151780432918	0	20.8699987444785	20.4146565730794	0	21.312424014611	0	20.6111548656053
WP_003512585.1	0	0	0	0	0	0	23.4882422426534	0	0	23.3097229821074	0	0	25.3539299104212	24.2841774034441	24.2457885053472	24.9026313252154	24.4975274354169	0	24.4562974283352	24.3958187595321	0	0	0	0	0	0	24.8018150110525	24.496715227244
WP_003516661.1	26.3288085466782	26.0987321452223	26.6957420791678	27.7080846930431	26.3376849949986	28.5727198499145	27.5365069814304	27.3591597626165	26.7226779279239	26.5732585186852	27.242086934778	27.0551735064616	27.1871072996444	26.0411239345747	26.9296576945719	27.1985307027756	27.2718658944889	26.9954166421199	27.1249045684337	27.5602238605214	26.9949597371988	27.7104257585056	27.6259524462071	27.8421751008951	26.8398363976217	27.429633204873	27.0694374167233	27.3539946716469
WP_003518177.1	29.3867174005441	29.2163578905271	29.3568871259615	29.4045379395688	29.3414943976016	29.4021456784489	29.2331727588503	29.2111876629542	29.1782567273289	29.2142218718579	28.9528815520293	28.6071964066893	28.8265463396261	28.1537960700654	28.7778383179015	28.6040928595991	28.7636046201508	28.3952990876415	28.8076886972435	28.9977999944351	29.1206956892365	28.9083010906875	28.6328420256393	28.7686195871947	28.6726507861557	28.713674177564	28.8527987215422	28.4758021250767
WP_003513624.1	27.0515797941468	27.6966930678735	28.1120852179464	26.9113244203036	27.3581586220583	27.5270708289748	27.2949821571265	26.530469689866	27.2642698062667	27.2235402544552	26.3382577673874	26.5176664783187	27.0540962994916	24.0233947573137	27.0602224829951	26.0138926305563	26.4062050179797	26.3783781033196	25.8651308899273	26.7139437395845	26.6827515887239	26.2534205242145	25.9822231546059	26.0584098761626	27.1075534691161	26.8993659010151	26.8014674956644	26.5723931071652
WP_003517270.1	0	22.632626194435	21.8505717680925	0	23.5595467422386	0	23.9172938136948	23.6807002340281	23.3278993866636	22.582709837283	20.9693299091059	0	0	22.2925015009038	24.0431429447753	0	0	22.2141707733229	0	22.1408744811534	0	0	0	0	23.2043961224048	0	0	23.7643357176786
WP_003514581.1	28.9373718967394	28.4480281764788	28.6124047446145	28.9016757816275	28.5624221128938	28.8714682923318	28.4848093146796	28.6753903229306	26.9544831502741	28.7898288998791	28.8794336599505	28.7875702704359	28.4906697552144	28.9924437293532	29.0014300805374	28.8180666464299	28.6942317755471	29.1456006242388	29.024870728794	28.7749967044971	28.1249677455146	28.5578722202444	28.5710631372056	28.8412698876003	28.5292812177184	28.7330395758286	28.9648685128425	28.6621882590367
WP_003515703.1	26.4220061404829	25.8512280806366	26.3285631230676	25.8456547451392	26.3280102801606	26.2651970356722	24.9071641692208	26.3138348073342	26.23029860463	25.5907060317858	26.4356878260756	26.5628462925303	27.0414897426961	27.1413947307183	25.6697819297611	27.6368008525773	27.5872656405214	27.6326499904856	27.6587849524133	27.5584087644373	27.6882834404763	25.7656359565892	27.5123355134151	27.0098773205142	27.0948684017613	25.4397897738194	25.0967673844246	27.2173355333133
WP_003516667.1	25.6069524316278	26.3256629307729	26.4701421076638	26.1421553601731	26.2727194199193	26.239926269129	26.2165315990492	26.1336831064784	26.0852380691368	26.3358252679737	24.5311508290926	26.280666853115	26.5215263503586	27.2456268870236	26.761903423263	26.4084464825282	26.6096865189179	26.4067930673567	26.8230828614772	26.3146323541626	27.0457458207846	26.3941849536213	26.3891481190986	25.9914109861338	26.6909432326937	26.5512664386252	26.9539111466367	26.5789023199054
WP_003518917.1	27.0780713147613	26.3272051471627	26.6422009127055	27.250092049376	28.1976772956964	27.2587711181845	28.2533171464219	28.2030997789969	26.9036076141896	27.699326643271	27.9330047322693	28.0084761044704	25.8897774058001	27.1363074659607	26.3957997507223	25.9825561762515	26.9729406919471	26.9660654337997	26.55708739526	26.6242026362117	27.3489259803114	27.5257591827902	25.9872493297672	27.0159576853703	27.1544919774274	27.6428505384079	27.4047063571461	25.5734428475895
