PUF	Protein	Correlated.LogLik	Correlated.AICc	Independent.LogLik	Independent.AICc	Target_Protein_Ids	PUF_Protein_Ids
OG0000909	OG0001604	-27.3143730358087	78.6287460716173	-36.012656431618	81.8434946814179	WP_003517145.1	WP_003519198.1
OG0001219	OG0001416	-19.6642842535092	63.3285685070183	-28.1221627235502	66.0625072652822	WP_003517984.1	WP_003517897.1
OG0001219	OG0001168	-19.0058724436575	62.0117448873149	-30.3700697600445	70.5583213382709	WP_003512783.1	WP_003517897.1
OG0001219	OG0001417	-23.4826147251795	70.965229450359	-31.6086985405294	73.0355788992406	WP_003517993.1	WP_003517897.1
OG0001234	OG0000085	-21.2233124661406	66.4466249322812	-29.5170171031286	68.852216024439	WP_003511670.1	WP_003513265.1
OG0001234	OG0000248	-21.1749418838737	66.3498837677475	-29.3737604037676	68.5657026257169	WP_003517832.1	WP_003513265.1
OG0001234	OG0001168	-18.9588604272659	61.9177208545319	-29.3751704220854	68.5685226623525	WP_003512783.1	WP_003513265.1
OG0001289	OG0001336	-20.0123326444274	64.0246652888548	-28.1548799346357	66.1279416874533	WP_003515281.1, WP_003519072.1	WP_003513604.1
OG0001289	OG0000576	-24.9366855529769	73.8733711059538	-33.1928421854382	76.2038661890582	WP_003512705.1, WP_003518809.1	WP_003513604.1
OG0001561	OG0000520	-22.1478971659199	68.2957943318398	-31.1962675771523	72.2107169724863	WP_003518879.1, WP_003518881.1	WP_003514904.1
OG0001655	OG0001743	-21.7116351585803	67.4232703171606	-30.2536252709249	70.3254323600316	WP_003512648.1	WP_003512610.1
OG0001655	OG0001604	-27.9906031335283	79.9812062670566	-37.3507761545017	84.5197341271851	WP_003517145.1	WP_003512610.1
OG0001732	OG0001508	-24.080937460636	72.161874921272	-32.3918354462502	74.6018527106822	WP_003516913.1	WP_003515304.1
OG0001732	OG0001805	-22.6543172092104	69.3086344184208	-34.0873135002041	77.99280881859	WP_003515310.1	WP_003515304.1
OG0001732	OG0002115	-19.7498889767954	63.4997779535909	-27.9288630815489	65.6759079812797	WP_003517644.1	WP_003515304.1
OG0001732	OG0001828	-25.6232434888229	75.2464869776459	-33.9065677225064	77.6313172631946	WP_003517497.1, WP_003519155.1	WP_003515304.1
OG0001732	OG0001935	-19.7498886142634	63.4997772285268	-27.9288634194746	65.675908657131	WP_003515586.1	WP_003515304.1
OG0001763	OG0001526	-20.4023905566259	64.8047811132519	-30.163125505064	70.1444328283099	WP_003513513.1	WP_003513521.1
OG0001795	OG0001604	-30.2021452512424	84.4042905024849	-38.4807058291006	86.7795934763829	WP_003517145.1	WP_003513588.1
OG0001859	OG0003729	-20.4475718154616	64.8951436309232	-29.3119412437909	68.4420643057636	ADU74616.1	WP_003516269.1
OG0001862	OG0001252	-22.0415588782333	68.0831177564666	-31.0205789297759	71.8593396777336	WP_003518452.1	WP_003512569.1
OG0001862	OG0001564	-28.2733170290582	80.5466340581165	-36.4442178837773	82.7066175857365	WP_003516004.1	WP_003512569.1
OG0001935	OG0001474	-20.4973090398805	64.994618079761	-28.6246411936818	67.0674642055454	WP_003517408.1	WP_003515586.1
OG0001935	OG0001732	-19.7498882922675	63.499776584535	-27.9288629760714	65.6759077703247	WP_003515304.1	WP_003515586.1
OG0001962	OG0000244	-20.7459093093868	65.4918186187736	-29.1274612434735	68.0731043051288	WP_003517776.1, WP_003519285.1, WP_014522631.1, WP_080552882.1	WP_003512623.1
OG0001962	OG0002064	-18.5472208508008	61.0944417016016	-27.1349920047591	64.0881658277001	WP_003511606.1	WP_003512623.1
OG0002145	OG0002470	-22.6642549744088	69.3285099488175	-31.6926987932442	73.2035794046703	WP_003515331.1	WP_003517752.1
OG0002235	OG0003729	-19.5366331352697	63.0732662705393	-28.3299070566577	66.4779959314973	ADU74616.1	WP_003517995.1
OG0002250	OG0003729	-18.757629421497	61.515258842994	-27.0937890375062	64.0057598931941	ADU74616.1	WP_003512035.1
