ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
ctx00250	Alanine, aspartate and glutamate metabolism	2/7	22/924	0.0105784504430766	0.154047690928036	0.143078350707154	Clo1313_1849/Clo1313_1657	2
ctx00240	Pyrimidine metabolism	2/7	29/924	0.0181232577562395	0.154047690928036	0.143078350707154	Clo1313_1145/Clo1313_1056	2
ctx01110	Biosynthesis of secondary metabolites	4/7	220/924	0.0593777444462708	0.248531508188911	0.230834218132116	Clo1313_1849/Clo1313_1229/Clo1313_1657/Clo1313_1056	4
ctx00330	Arginine and proline metabolism	1/7	10/924	0.073573286999841	0.248531508188911	0.230834218132116	Clo1313_1657	1
ctx00910	Nitrogen metabolism	1/7	10/924	0.073573286999841	0.248531508188911	0.230834218132116	Clo1313_1849	1
ctx00760	Nicotinate and nicotinamide metabolism	1/7	12/924	0.0877170028902039	0.248531508188911	0.230834218132116	Clo1313_1056	1
ctx00220	Arginine biosynthesis	1/7	18/924	0.129043324464653	0.310890853580905	0.288753114781026	Clo1313_1657	1
ctx01210	2-Oxocarboxylic acid metabolism	1/7	24/924	0.168754511500209	0.310890853580905	0.288753114781026	Clo1313_1657	1
ctx00400	Phenylalanine, tyrosine and tryptophan biosynthesis	1/7	26/924	0.181641847314993	0.310890853580905	0.288753114781026	Clo1313_1657	1
ctx00270	Cysteine and methionine metabolism	1/7	29/924	0.200651626506682	0.310890853580905	0.288753114781026	Clo1313_1657	1
ctx01230	Biosynthesis of amino acids	2/7	111/924	0.201164669964115	0.310890853580905	0.288753114781026	Clo1313_1849/Clo1313_1657	2
ctx00230	Purine metabolism	1/7	39/924	0.261310311573056	0.37018960806183	0.343829357332969	Clo1313_1056	1
ctx01100	Metabolic pathways	5/7	496/924	0.290448819192845	0.379817686636798	0.352771845173496	Clo1313_1849/Clo1313_1145/Clo1313_1229/Clo1313_1657/Clo1313_1056	5
ctx02030	Bacterial chemotaxis	1/7	50/924	0.323436090579121	0.392743824274647	0.364777545765926	Clo1313_1414	1
ctx02010	ABC transporters	1/7	55/924	0.350159321987899	0.396847231586286	0.368588759987263	Clo1313_2952	1
ctx02020	Two-component system	1/7	113/924	0.600000020617968	0.603452548183534	0.560482242894923	Clo1313_1414	1
ctx01120	Microbial metabolism in diverse environments	1/7	114/924	0.603452548183534	0.603452548183534	0.560482242894923	Clo1313_1849	1
