ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
ctx03030	DNA replication	2/21	14/924	0.0379934970594175	0.731264932802752	0.718435723455336	Clo1313_1178/Clo1313_1461	2
ctx00640	Propanoate metabolism	2/21	16/924	0.0487509955201835	0.731264932802752	0.718435723455336	Clo1313_1185/Clo1313_1878	2
ctx00620	Pyruvate metabolism	2/21	31/924	0.154212842135359	0.748417033569295	0.735286910173343	Clo1313_1185/Clo1313_1878	2
ctx00561	Glycerolipid metabolism	1/21	10/924	0.206288858459912	0.748417033569295	0.735286910173343	Clo1313_2059	1
ctx00790	Folate biosynthesis	1/21	10/924	0.206288858459912	0.748417033569295	0.735286910173343	Clo1313_2125	1
ctx03018	RNA degradation	1/21	10/924	0.206288858459912	0.748417033569295	0.735286910173343	Clo1313_0955	1
ctx03070	Bacterial secretion system	1/21	10/924	0.206288858459912	0.748417033569295	0.735286910173343	Clo1313_1315	1
ctx03410	Base excision repair	1/21	10/924	0.206288858459912	0.748417033569295	0.735286910173343	Clo1313_1178	1
ctx03420	Nucleotide excision repair	1/21	11/924	0.224525110070789	0.748417033569295	0.735286910173343	Clo1313_1178	1
ctx00030	Pentose phosphate pathway	1/21	15/924	0.293557724614254	0.773255719669457	0.759689829850694	Clo1313_0218	1
ctx03060	Protein export	1/21	16/924	0.309878173220525	0.773255719669457	0.759689829850694	Clo1313_1315	1
ctx03430	Mismatch repair	1/21	20/924	0.371639714708505	0.773255719669457	0.759689829850694	Clo1313_1178	1
ctx00190	Oxidative phosphorylation	1/21	21/924	0.386236579742931	0.773255719669457	0.759689829850694	Clo1313_2936	1
ctx03440	Homologous recombination	1/21	22/924	0.400510147655886	0.773255719669457	0.759689829850694	Clo1313_1163	1
ctx01200	Carbon metabolism	2/21	63/924	0.425776214015159	0.773255719669457	0.759689829850694	Clo1313_1185/Clo1313_0218	2
ctx00550	Peptidoglycan biosynthesis	1/21	26/924	0.454505623286414	0.773255719669457	0.759689829850694	Clo1313_1781	1
ctx01120	Microbial metabolism in diverse environments	3/21	114/924	0.490506699680675	0.773255719669457	0.759689829850694	Clo1313_1185/Clo1313_0218/Clo1313_1878	3
ctx00270	Cysteine and methionine metabolism	1/21	29/924	0.491928023761512	0.773255719669457	0.759689829850694	Clo1313_1878	1
ctx00680	Methane metabolism	1/21	30/924	0.50384926566208	0.773255719669457	0.759689829850694	Clo1313_1185	1
ctx02040	Flagellar assembly	1/21	31/924	0.515503813112971	0.773255719669457	0.759689829850694	Clo1313_2916	1
ctx00010	Glycolysis / Gluconeogenesis	1/21	34/924	0.548923461928125	0.784176374183036	0.770418893934211	Clo1313_1878	1
ctx00230	Purine metabolism	1/21	39/924	0.599796610898161	0.784371639839543	0.770610733877446	Clo1313_0218	1
ctx02024	Quorum sensing	1/21	40/924	0.609292962503968	0.784371639839543	0.770610733877446	Clo1313_1308	1
ctx00520	Amino sugar and nucleotide sugar metabolism	1/21	44/924	0.645175633545593	0.784371639839543	0.770610733877446	Clo1313_2901	1
ctx00500	Starch and sucrose metabolism	1/21	45/924	0.653643033199619	0.784371639839543	0.770610733877446	Clo1313_0413	1
ctx02020	Two-component system	2/21	113/924	0.749728003295595	0.839917460785678	0.825182066736806	Clo1313_1969/Clo1313_0413	2
ctx01110	Biosynthesis of secondary metabolites	4/21	220/924	0.77575455511327	0.839917460785678	0.825182066736806	Clo1313_0146/Clo1313_0218/Clo1313_1878/Clo1313_2125	4
ctx01100	Metabolic pathways	10/21	496/924	0.783922963399966	0.839917460785678	0.825182066736806	Clo1313_1781/Clo1313_1185/Clo1313_2936/Clo1313_2901/Clo1313_2059/Clo1313_0146/Clo1313_0218/Clo1313_1878/Clo1313_2125/Clo1313_0413	10
ctx00970	Aminoacyl-tRNA biosynthesis	1/21	86/924	0.874477025446845	0.904631405634668	0.888760679220024	Clo1313_2723	1
ctx01230	Biosynthesis of amino acids	1/21	111/924	0.934067859275278	0.934067859275278	0.917680703849396	Clo1313_0218	1
