GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0015318	inorganic molecular entity transmembrane...	30	5	1.6	0.019
GO:0015075	ion transmembrane transporter activity	31	5	1.66	0.021
GO:0022853	active ion transmembrane transporter act...	14	3	0.75	0.035
GO:0042623	ATPase activity, coupled	51	6	2.72	0.049
GO:0043492	ATPase activity, coupled to movement of ...	27	4	1.44	0.051
GO:0042626	ATPase activity, coupled to transmembran...	27	4	1.44	0.051
GO:0000287	magnesium ion binding	41	5	2.19	0.063
GO:0015405	P-P-bond-hydrolysis-driven transmembrane...	30	4	1.6	0.071
GO:0015399	primary active transmembrane transporter...	30	4	1.6	0.071
GO:0032555	purine ribonucleotide binding	280	20	14.95	0.086
GO:0022804	active transmembrane transporter activit...	32	4	1.71	0.086
GO:0022857	transmembrane transporter activity	45	5	2.4	0.087
GO:0017076	purine nucleotide binding	282	20	15.06	0.091
GO:0016887	ATPase activity	89	8	4.75	0.095
GO:0016881	acid-amino acid ligase activity	10	2	0.53	0.096
GO:0035639	purine ribonucleoside triphosphate bindi...	272	19	14.52	0.112
GO:0022890	inorganic cation transmembrane transport...	23	3	1.23	0.120
GO:0004386	helicase activity	23	3	1.23	0.120
GO:0019829	cation-transporting ATPase activity	12	2	0.64	0.131
GO:0032553	ribonucleotide binding	295	20	15.75	0.132
GO:0008324	cation transmembrane transporter activit...	24	3	1.28	0.132
GO:0017111	nucleoside-triphosphatase activity	128	10	6.83	0.135
GO:0005215	transporter activity	52	5	2.78	0.139
GO:0003678	DNA helicase activity	13	2	0.69	0.150
GO:0015078	proton transmembrane transporter activit...	13	2	0.69	0.150
GO:0042625	ATPase coupled ion transmembrane transpo...	13	2	0.69	0.150
GO:0030246	carbohydrate binding	39	4	2.08	0.150
GO:0000166	nucleotide binding	338	22	18.05	0.161
GO:1901265	nucleoside phosphate binding	338	22	18.05	0.161
GO:0140102	catalytic activity, acting on a rRNA	14	2	0.75	0.169
GO:0016462	pyrophosphatase activity	135	10	7.21	0.173
GO:0097367	carbohydrate derivative binding	306	20	16.34	0.174
GO:0016817	hydrolase activity, acting on acid anhyd...	136	10	7.26	0.179
GO:0016818	hydrolase activity, acting on acid anhyd...	136	10	7.26	0.179
GO:0043167	ion binding	507	31	27.07	0.184
GO:0015077	monovalent inorganic cation transmembran...	15	2	0.8	0.189
GO:0016758	transferase activity, transferring hexos...	15	2	0.8	0.189
GO:0043168	anion binding	345	22	18.42	0.189
GO:0005524	ATP binding	244	16	13.03	0.211
GO:0019001	guanyl nucleotide binding	45	4	2.4	0.216
GO:0032561	guanyl ribonucleotide binding	45	4	2.4	0.216
GO:0032559	adenyl ribonucleotide binding	245	16	13.08	0.217
GO:0005488	binding	780	45	41.64	0.219
GO:0030554	adenyl nucleotide binding	247	16	13.19	0.227
GO:0008094	DNA-dependent ATPase activity	18	2	0.96	0.249
GO:0097159	organic cyclic compound binding	545	32	29.1	0.266
GO:1901363	heterocyclic compound binding	545	32	29.1	0.266
GO:0008135	translation factor activity, RNA binding	19	2	1.01	0.269
GO:0005525	GTP binding	34	3	1.82	0.271
GO:0036094	small molecule binding	382	23	20.39	0.277
GO:0032550	purine ribonucleoside binding	54	4	2.88	0.325
GO:0001883	purine nucleoside binding	54	4	2.88	0.325
GO:0003924	GTPase activity	23	2	1.23	0.350
GO:0032549	ribonucleoside binding	57	4	3.04	0.363
GO:0001882	nucleoside binding	57	4	3.04	0.363
GO:0003723	RNA binding	110	7	5.87	0.371
GO:0016757	transferase activity, transferring glyco...	41	3	2.19	0.376
GO:0008144	drug binding	293	17	15.64	0.391
GO:0008168	methyltransferase activity	60	4	3.2	0.400
GO:0046914	transition metal ion binding	78	5	4.16	0.405
GO:0046872	metal ion binding	241	14	12.87	0.409
GO:0004672	protein kinase activity	26	2	1.39	0.409
GO:0140098	catalytic activity, acting on RNA	79	5	4.22	0.416
GO:0030145	manganese ion binding	10	1	0.53	0.424
GO:0008238	exopeptidase activity	10	1	0.53	0.424
GO:0050660	flavin adenine dinucleotide binding	10	1	0.53	0.424
GO:0043169	cation binding	246	14	13.13	0.443
GO:0008649	rRNA methyltransferase activity	11	1	0.59	0.455
GO:0140110	transcription regulator activity	29	2	1.55	0.465
GO:0016747	transferase activity, transferring acyl ...	29	2	1.55	0.465
GO:0005509	calcium ion binding	12	1	0.64	0.484
GO:0003735	structural constituent of ribosome	49	3	2.62	0.493
GO:0016741	transferase activity, transferring one-c...	68	4	3.63	0.499
GO:0097747	RNA polymerase activity	13	1	0.69	0.512
GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	13	1	0.69	0.512
GO:0034062	5'-3' RNA polymerase activity	13	1	0.69	0.512
GO:0016740	transferase activity	331	18	17.67	0.512
GO:0003676	nucleic acid binding	258	14	13.77	0.524
GO:0000155	phosphorelay sensor kinase activity	14	1	0.75	0.538
GO:0016301	kinase activity	72	4	3.84	0.545
GO:0016746	transferase activity, transferring acyl ...	34	2	1.82	0.552
GO:0008173	RNA methyltransferase activity	15	1	0.8	0.563
GO:0044877	protein-containing complex binding	15	1	0.8	0.563
GO:0016831	carboxy-lyase activity	15	1	0.8	0.563
GO:0016866	intramolecular transferase activity	15	1	0.8	0.563
GO:0005506	iron ion binding	15	1	0.8	0.563
GO:0005198	structural molecule activity	56	3	2.99	0.586
GO:0004673	protein histidine kinase activity	16	1	0.85	0.587
GO:0016763	transferase activity, transferring pento...	16	1	0.85	0.587
GO:0003677	DNA binding	134	7	7.15	0.588
GO:0016775	phosphotransferase activity, nitrogenous...	17	1	0.91	0.609
GO:0016772	transferase activity, transferring phosp...	118	6	6.3	0.617
GO:0016879	ligase activity, forming carbon-nitrogen...	39	2	2.08	0.628
