GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0006935	chemotaxis	38	3	0.36	1	0.0043	0.0043	WP_003513222.1;WP_003518457.1;WP_003518813.1	WP_003516357.1;WP_003517930.1;WP_014522611.1
GO:0006261	DNA-dependent DNA replication	15	2	0.14	2	0.0079	0.0079	WP_003513238.1;WP_003517221.1	WP_003516357.1;WP_003517930.1;WP_014522611.1
GO:0000272	polysaccharide catabolic process	40	2	0.38	3	0.0515	0.0515	NA	NA
GO:0090305	nucleic acid phosphodiester bond hydroly...	54	2	0.51	5	0.0879	0.0879	NA	NA
GO:1990748	cellular detoxification	10	1	0.09	6	0.0904	0.0904	NA	NA
GO:0006081	cellular aldehyde metabolic process	11	1	0.1	8	0.0990	0.0990	NA	NA
GO:1901700	response to oxygen-containing compound	11	1	0.1	9	0.0990	0.0990	NA	NA
GO:0071897	DNA biosynthetic process	12	1	0.11	13	0.1076	0.1076	NA	NA
GO:0009069	serine family amino acid metabolic proce...	16	1	0.15	16	0.1410	0.1410	NA	NA
GO:0006259	DNA metabolic process	88	3	0.83	55	0.1454	0.4452	NA	NA
GO:0000910	cytokinesis	18	1	0.17	18	0.1573	0.1573	NA	NA
GO:0001510	RNA methylation	19	1	0.18	19	0.1653	0.1653	NA	NA
GO:0097588	archaeal or bacterial-type flagellum-dep...	19	1	0.18	20	0.1653	0.1653	NA	NA
GO:0015031	protein transport	22	1	0.21	24	0.1890	0.1890	NA	NA
GO:0007165	signal transduction	90	2	0.85	32	0.2047	0.2047	NA	NA
GO:0009066	aspartate family amino acid metabolic pr...	30	1	0.28	37	0.2493	0.2493	NA	NA
GO:0065008	regulation of biological quality	41	1	0.39	45	0.3255	0.3255	NA	NA
GO:0006281	DNA repair	47	1	0.44	51	0.3640	0.3640	NA	NA
GO:0006811	ion transport	48	1	0.45	52	0.3702	0.3702	NA	NA
GO:1901565	organonitrogen compound catabolic proces...	59	1	0.55	54	0.4351	0.4351	NA	NA
GO:0044282	small molecule catabolic process	61	1	0.57	56	0.4463	0.4463	NA	NA
GO:0006396	RNA processing	65	1	0.61	58	0.4679	0.4679	NA	NA
GO:0055114	oxidation-reduction process	177	2	1.66	60	0.5130	0.5130	NA	NA
GO:0006355	regulation of transcription, DNA-templat...	94	1	0.88	62	0.6033	0.6033	NA	NA
GO:0044248	cellular catabolic process	109	1	1.02	77	0.6603	0.6603	NA	NA
GO:0017144	drug metabolic process	114	1	1.07	79	0.6775	0.6775	NA	NA
GO:0009117	nucleotide metabolic process	155	1	1.46	91	0.7918	0.7918	NA	NA
GO:0008104	protein localization	23	1	0.22	25	1.0000	0.1968	NA	NA
GO:0006139	nucleobase-containing compound metabolic...	438	4	4.11	99	1.0000	0.8983	NA	NA
GO:0006796	phosphate-containing compound metabolic ...	248	1	2.33	104	1.0000	0.9280	NA	NA
GO:0006807	nitrogen compound metabolic process	758	5	7.12	116	1.0000	0.9876	NA	NA
GO:0090304	nucleic acid metabolic process	284	4	2.67	76	1.0000	0.6572	NA	NA
GO:0006974	cellular response to DNA damage stimulus	57	1	0.54	53	1.0000	0.4238	NA	NA
GO:0043170	macromolecule metabolic process	567	6	5.33	85	1.0000	0.7006	NA	NA
GO:2001141	regulation of RNA biosynthetic process	94	1	0.88	63	1.0000	0.6033	NA	NA
GO:0044249	cellular biosynthetic process	552	2	5.19	120	1.0000	1.0000	NA	NA
GO:0051252	regulation of RNA metabolic process	97	1	0.91	65	1.0000	0.6153	NA	NA
GO:0045184	establishment of protein localization	23	1	0.22	26	1.0000	0.1968	NA	NA
GO:0042221	response to chemical	78	4	0.73	38	1.0000	0.2506	NA	NA
GO:2000112	regulation of cellular macromolecule bio...	105	1	0.99	71	1.0000	0.6459	NA	NA
GO:0098754	detoxification	11	1	0.1	10	1.0000	0.0990	NA	NA
GO:0051171	regulation of nitrogen compound metaboli...	118	1	1.11	81	1.0000	0.6908	NA	NA
GO:0007049	cell cycle	37	1	0.35	41	1.0000	0.2986	NA	NA
GO:0050896	response to stimulus	210	5	1.97	49	1.0000	0.3486	NA	NA
GO:0043412	macromolecule modification	115	1	1.08	80	1.0000	0.6809	NA	NA
GO:0010467	gene expression	287	2	2.7	92	1.0000	0.7939	NA	NA
GO:0006260	DNA replication	33	2	0.31	121	1.0000	1.0000	NA	NA
GO:0044260	cellular macromolecule metabolic process	458	4	4.3	103	1.0000	0.9157	NA	NA
GO:0010468	regulation of gene expression	113	1	1.06	78	1.0000	0.6741	NA	NA
GO:0043414	macromolecule methylation	26	1	0.24	34	1.0000	0.2197	NA	NA
GO:0044237	cellular metabolic process	813	5	7.64	118	1.0000	0.9949	NA	NA
GO:0046483	heterocycle metabolic process	493	4	4.63	106	1.0000	0.9404	NA	NA
GO:0044238	primary metabolic process	825	7	7.75	102	1.0000	0.9029	NA	NA
GO:0034654	nucleobase-containing compound biosynthe...	266	1	2.5	107	1.0000	0.9421	NA	NA
GO:0051674	localization of cell	24	1	0.23	29	1.0000	0.2045	NA	NA
GO:0051179	localization	142	1	1.33	89	1.0000	0.7603	NA	NA
GO:0006082	organic acid metabolic process	206	1	1.94	98	1.0000	0.8822	NA	NA
GO:0019752	carboxylic acid metabolic process	203	1	1.91	96	1.0000	0.8780	NA	NA
GO:0031323	regulation of cellular metabolic process	118	1	1.11	82	1.0000	0.6908	NA	NA
GO:0032774	RNA biosynthetic process	107	1	1.01	74	1.0000	0.6531	NA	NA
GO:0006928	movement of cell or subcellular componen...	31	1	0.29	39	1.0000	0.2565	NA	NA
GO:0060255	regulation of macromolecule metabolic pr...	123	1	1.16	87	1.0000	0.7066	NA	NA
GO:0031326	regulation of cellular biosynthetic proc...	106	1	1	72	1.0000	0.6495	NA	NA
GO:0006810	transport	121	1	1.14	84	1.0000	0.7004	NA	NA
GO:0042886	amide transport	26	1	0.24	35	1.0000	0.2197	NA	NA
GO:0010556	regulation of macromolecule biosynthetic...	106	1	1	73	1.0000	0.6495	NA	NA
GO:0016052	carbohydrate catabolic process	60	2	0.56	12	1.0000	0.1055	NA	NA
GO:0080090	regulation of primary metabolic process	120	1	1.13	83	1.0000	0.6972	NA	NA
GO:0006520	cellular amino acid metabolic process	145	1	1.36	90	1.0000	0.7679	NA	NA
GO:0009451	RNA modification	44	1	0.41	48	1.0000	0.3450	NA	NA
GO:1901575	organic substance catabolic process	138	3	1.3	15	1.0000	0.1303	NA	NA
GO:0009889	regulation of biosynthetic process	107	1	1.01	75	1.0000	0.6531	NA	NA
GO:1901576	organic substance biosynthetic process	558	2	5.24	122	1.0000	1.0000	NA	NA
GO:0009987	cellular process	926	8	8.7	100	1.0000	0.8986	NA	NA
GO:0019222	regulation of metabolic process	126	1	1.18	88	1.0000	0.7158	NA	NA
GO:0007154	cell communication	109	2	1.02	40	1.0000	0.2731	NA	NA
GO:0044281	small molecule metabolic process	365	2	3.43	101	1.0000	0.9028	NA	NA
GO:0009636	response to toxic substance	19	1	0.18	21	1.0000	0.1653	NA	NA
GO:0043436	oxoacid metabolic process	204	1	1.92	97	1.0000	0.8794	NA	NA
GO:0071702	organic substance transport	42	1	0.39	47	1.0000	0.3320	NA	NA
GO:0097237	cellular response to toxic substance	12	1	0.11	14	1.0000	0.1076	NA	NA
GO:0019438	aromatic compound biosynthetic process	320	1	3.01	112	1.0000	0.9707	NA	NA
GO:0071704	organic substance metabolic process	871	7	8.18	109	1.0000	0.9440	NA	NA
GO:0097659	nucleic acid-templated transcription	103	1	0.97	67	1.0000	0.6384	NA	NA
GO:0071705	nitrogen compound transport	37	1	0.35	42	1.0000	0.2986	NA	NA
GO:0015833	peptide transport	26	1	0.24	36	1.0000	0.2197	NA	NA
GO:0006753	nucleoside phosphate metabolic process	157	1	1.47	93	1.0000	0.7962	NA	NA
GO:1901605	alpha-amino acid metabolic process	104	1	0.98	70	1.0000	0.6422	NA	NA
GO:0009056	catabolic process	143	3	1.34	17	1.0000	0.1412	NA	NA
GO:0009057	macromolecule catabolic process	59	2	0.55	11	1.0000	0.1025	NA	NA
GO:0009058	biosynthetic process	568	2	5.34	123	1.0000	1.0000	NA	NA
GO:0016070	RNA metabolic process	199	2	1.87	61	1.0000	0.5819	NA	NA
GO:0044271	cellular nitrogen compound biosynthetic ...	416	1	3.91	117	1.0000	0.9922	NA	NA
GO:0009059	macromolecule biosynthetic process	285	2	2.68	124	1.0000	1.0000	NA	NA
GO:0022402	cell cycle process	20	1	0.19	23	1.0000	0.1733	NA	NA
GO:0019219	regulation of nucleobase-containing comp...	103	1	0.97	68	1.0000	0.6384	NA	NA
GO:0050789	regulation of biological process	225	3	2.11	50	1.0000	0.3564	NA	NA
GO:0033036	macromolecule localization	24	1	0.23	30	1.0000	0.2045	NA	NA
GO:0033554	cellular response to stress	71	1	0.67	59	1.0000	0.4990	NA	NA
GO:1901360	organic cyclic compound metabolic proces...	505	4	4.74	110	1.0000	0.9474	NA	NA
