GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0001510	RNA methylation	19	7	1.94	0.0017
GO:0044282	small molecule catabolic process	57	12	5.81	0.0092
GO:0044248	cellular catabolic process	95	17	9.68	0.0113
GO:0022900	electron transport chain	21	6	2.14	0.0148
GO:1901565	organonitrogen compound catabolic proces...	54	11	5.5	0.0161
GO:0031167	rRNA methylation	11	4	1.12	0.0191
GO:0006979	response to oxidative stress	13	4	1.32	0.0353
GO:0009064	glutamine family amino acid metabolic pr...	26	6	2.65	0.0410
GO:0009150	purine ribonucleotide metabolic process	101	16	10.29	0.0413
GO:1901068	guanosine-containing compound metabolic ...	20	5	2.04	0.0446
GO:1901069	guanosine-containing compound catabolic ...	14	4	1.43	0.0456
GO:0000154	rRNA modification	14	4	1.43	0.0456
GO:0006732	coenzyme metabolic process	64	11	6.52	0.0519
GO:0009205	purine ribonucleoside triphosphate metab...	72	12	7.33	0.0530
GO:0009144	purine nucleoside triphosphate metabolic...	72	12	7.33	0.0530
GO:0009259	ribonucleotide metabolic process	113	17	11.51	0.0555
GO:0006163	purine nucleotide metabolic process	105	16	10.69	0.0566
GO:0046039	GTP metabolic process	15	4	1.53	0.0575
GO:0009199	ribonucleoside triphosphate metabolic pr...	73	12	7.44	0.0581
GO:0006091	generation of precursor metabolites and ...	50	9	5.09	0.0591
GO:0006396	RNA processing	58	10	5.91	0.0615
GO:0006468	protein phosphorylation	29	6	2.95	0.0658
GO:0019693	ribose phosphate metabolic process	116	17	11.81	0.0686
GO:0042454	ribonucleoside catabolic process	44	8	4.48	0.0698
GO:0009084	glutamine family amino acid biosynthetic...	16	4	1.63	0.0708
GO:0016310	phosphorylation	100	15	10.19	0.0720
GO:0019318	hexose metabolic process	10	3	1.02	0.0725
GO:0033866	nucleoside bisphosphate biosynthetic pro...	10	3	1.02	0.0725
GO:0034030	ribonucleoside bisphosphate biosynthetic...	10	3	1.02	0.0725
GO:0034033	purine nucleoside bisphosphate biosynthe...	10	3	1.02	0.0725
GO:0034656	nucleobase-containing small molecule cat...	45	8	4.58	0.0780
GO:1901658	glycosyl compound catabolic process	45	8	4.58	0.0780
GO:0009164	nucleoside catabolic process	45	8	4.58	0.0780
GO:0009108	coenzyme biosynthetic process	53	9	5.4	0.0806
GO:0009141	nucleoside triphosphate metabolic proces...	77	12	7.84	0.0815
GO:0072521	purine-containing compound metabolic pro...	112	16	11.41	0.0921
GO:0034470	ncRNA processing	47	8	4.79	0.0959
GO:0046034	ATP metabolic process	55	9	5.6	0.0973
GO:0034220	ion transmembrane transport	25	5	2.55	0.1016
GO:0006090	pyruvate metabolic process	25	5	2.55	0.1016
GO:0046700	heterocycle catabolic process	72	11	7.33	0.1045
GO:0034655	nucleobase-containing compound catabolic...	72	11	7.33	0.1045
GO:0044270	cellular nitrogen compound catabolic pro...	72	11	7.33	0.1045
GO:0006796	phosphate-containing compound metabolic ...	230	29	23.43	0.1078
GO:1901361	organic cyclic compound catabolic proces...	73	11	7.44	0.1128
GO:0019439	aromatic compound catabolic process	73	11	7.44	0.1128
GO:0033865	nucleoside bisphosphate metabolic proces...	12	3	1.22	0.1146
GO:0033875	ribonucleoside bisphosphate metabolic pr...	12	3	1.22	0.1146
GO:0006525	arginine metabolic process	12	3	1.22	0.1146
GO:0034032	purine nucleoside bisphosphate metabolic...	12	3	1.22	0.1146
