GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher
GO:0008135	translation factor activity, RNA binding	20	3	1.01	3	0.075	0.075
GO:0000049	tRNA binding	21	3	1.06	4	0.085	0.085
GO:0004673	protein histidine kinase activity	19	3	0.96	1	0.096	0.066
GO:0008270	zinc ion binding	50	5	2.52	6	0.102	0.102
GO:0052689	carboxylic ester hydrolase activity	11	2	0.55	7	0.102	0.102
GO:0032549	ribonucleoside binding	59	3	2.97	81	0.145	0.580
GO:0004812	aminoacyl-tRNA ligase activity	27	3	1.36	8	0.151	0.151
GO:0050661	NADP binding	15	2	0.75	11	0.172	0.172
GO:0005215	transporter activity	74	4	3.72	71	0.188	0.519
GO:0008168	methyltransferase activity	64	5	3.22	16	0.207	0.215
GO:0000155	phosphorelay sensor kinase activity	17	2	0.86	15	0.209	0.209
GO:0016772	transferase activity, transferring phosp...	143	8	7.19	48	0.228	0.432
GO:0070011	peptidase activity, acting on L-amino ac...	53	3	2.67	67	0.229	0.506
GO:0016740	transferase activity	382	23	19.22	12	0.253	0.179
GO:0016788	hydrolase activity, acting on ester bond...	86	6	4.33	21	0.263	0.260
GO:0016407	acetyltransferase activity	22	2	1.11	30	0.266	0.305
GO:0008483	transaminase activity	22	2	1.11	31	0.305	0.305
GO:0016491	oxidoreductase activity	160	10	8.05	26	0.305	0.277
GO:0003676	nucleic acid binding	308	18	15.5	24	0.327	0.270
GO:0019843	rRNA binding	41	3	2.06	36	0.341	0.341
GO:0005524	ATP binding	266	15	13.38	39	0.353	0.353
GO:0016741	transferase activity, transferring one-c...	74	6	3.72	10	0.395	0.163
GO:0016854	racemase and epimerase activity	10	1	0.5	44	0.404	0.404
GO:0043022	ribosome binding	10	1	0.5	45	0.404	0.404
GO:0030170	pyridoxal phosphate binding	28	2	1.41	46	0.416	0.416
GO:0016814	hydrolase activity, acting on carbon-nit...	11	1	0.55	50	0.435	0.435
GO:0004519	endonuclease activity	30	2	1.51	53	0.452	0.452
GO:0036094	small molecule binding	422	25	21.23	13	0.463	0.186
GO:0004536	deoxyribonuclease activity	12	1	0.6	55	0.463	0.463
GO:0008238	exopeptidase activity	12	1	0.6	56	0.463	0.463
GO:0016782	transferase activity, transferring sulfu...	12	1	0.6	57	0.463	0.463
GO:0003690	double-stranded DNA binding	13	1	0.65	60	0.491	0.491
GO:0016791	phosphatase activity	13	1	0.65	61	0.491	0.491
GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	13	1	0.65	62	0.491	0.491
GO:0005509	calcium ion binding	13	1	0.65	63	0.491	0.491
GO:0051536	iron-sulfur cluster binding	69	3	3.47	101	0.493	0.689
GO:0050660	flavin adenine dinucleotide binding	14	1	0.7	69	0.516	0.516
GO:0016887	ATPase activity	101	5	5.08	83	0.538	0.586
GO:0005525	GTP binding	36	2	1.81	73	0.550	0.550
GO:0003735	structural constituent of ribosome	57	3	2.87	74	0.556	0.556
GO:0016884	carbon-nitrogen ligase activity, with gl...	16	1	0.81	75	0.564	0.564
GO:0016903	oxidoreductase activity, acting on the a...	16	1	0.81	76	0.564	0.564
GO:0016651	oxidoreductase activity, acting on NAD(P...	16	1	0.81	77	0.564	0.564
GO:0010181	FMN binding	16	1	0.81	78	0.564	0.564
GO:0008080	N-acetyltransferase activity	16	1	0.81	79	0.564	0.564
GO:0008173	RNA methyltransferase activity	17	1	0.86	84	0.587	0.587
GO:0016763	transferase activity, transferring pento...	17	1	0.86	85	0.587	0.587
GO:0042626	ATPase activity, coupled to transmembran...	39	2	1.96	86	0.595	0.595
GO:0016811	hydrolase activity, acting on carbon-nit...	18	1	0.91	88	0.608	0.608
GO:0016831	carboxy-lyase activity	18	1	0.91	89	0.608	0.608
GO:0003824	catalytic activity	997	48	50.16	116	0.612	0.799
GO:0046872	metal ion binding	279	15	14.04	49	0.615	0.433
GO:0016874	ligase activity	88	6	4.43	27	0.618	0.278
GO:0003723	RNA binding	119	10	5.99	2	0.633	0.068
GO:0051287	NAD binding	20	1	1.01	95	0.647	0.647
GO:0016773	phosphotransferase activity, alcohol gro...	51	4	2.57	19	0.656	0.252
GO:0048037	cofactor binding	173	9	8.7	68	0.663	0.514
GO:0022857	transmembrane transporter activity	70	3	3.52	104	0.701	0.698
GO:0140101	catalytic activity, acting on a tRNA	51	4	2.57	20	0.704	0.252
GO:0060089	molecular transducer activity	24	1	1.21	105	0.714	0.714
GO:0016765	transferase activity, transferring alkyl...	25	1	1.26	108	0.728	0.728
GO:0005515	protein binding	97	4	4.88	109	0.736	0.736
GO:0016879	ligase activity, forming carbon-nitrogen...	42	2	2.11	93	0.741	0.636
GO:0016787	hydrolase activity	424	18	21.33	120	0.745	0.852
GO:0042623	ATPase activity, coupled	66	3	3.32	97	0.755	0.658
GO:0016301	kinase activity	87	5	4.38	52	0.784	0.449
