GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0003677	DNA binding	134	5	1.25	0.0046
GO:0008757	S-adenosylmethionine-dependent methyltra...	20	2	0.19	0.0137
GO:0003700	DNA-binding transcription factor activit...	22	2	0.21	0.0165
GO:0140110	transcription regulator activity	29	2	0.27	0.0280
GO:0140096	catalytic activity, acting on a protein	103	3	0.96	0.0636
GO:0046873	metal ion transmembrane transporter acti...	10	1	0.09	0.0897
GO:0008168	methyltransferase activity	60	2	0.56	0.1041
GO:0043565	sequence-specific DNA binding	12	1	0.11	0.1068
GO:0003690	double-stranded DNA binding	13	1	0.12	0.1152
GO:0000155	phosphorelay sensor kinase activity	14	1	0.13	0.1235
GO:0016741	transferase activity, transferring one-c...	68	2	0.63	0.1286
GO:0008236	serine-type peptidase activity	15	1	0.14	0.1318
GO:0015077	monovalent inorganic cation transmembran...	15	1	0.14	0.1318
GO:0017171	serine hydrolase activity	15	1	0.14	0.1318
GO:0016831	carboxy-lyase activity	15	1	0.14	0.1318
GO:0004673	protein histidine kinase activity	16	1	0.15	0.1400
GO:0042802	identical protein binding	16	1	0.15	0.1400
GO:0016775	phosphotransferase activity, nitrogenous...	17	1	0.16	0.1481
GO:0008094	DNA-dependent ATPase activity	18	1	0.17	0.1562
GO:0009055	electron transfer activity	18	1	0.17	0.1562
GO:0030248	cellulose binding	20	1	0.19	0.1721
GO:0004175	endopeptidase activity	21	1	0.2	0.1799
GO:0001871	pattern binding	22	1	0.21	0.1877
GO:0030247	polysaccharide binding	22	1	0.21	0.1877
GO:0022890	inorganic cation transmembrane transport...	23	1	0.21	0.1954
GO:0008324	cation transmembrane transporter activit...	24	1	0.22	0.2031
GO:0030170	pyridoxal phosphate binding	25	1	0.23	0.2107
GO:0070279	vitamin B6 binding	25	1	0.23	0.2107
GO:0016830	carbon-carbon lyase activity	25	1	0.23	0.2107
GO:0004672	protein kinase activity	26	1	0.24	0.2182
GO:0015318	inorganic molecular entity transmembrane...	30	1	0.28	0.2476
GO:0015075	ion transmembrane transporter activity	31	1	0.29	0.2548
GO:0019842	vitamin binding	33	1	0.31	0.2690
GO:0008144	drug binding	293	4	2.73	0.2814
GO:0070011	peptidase activity, acting on L-amino ac...	39	1	0.36	0.3102
GO:0030246	carbohydrate binding	39	1	0.36	0.3102
GO:0000287	magnesium ion binding	41	1	0.38	0.3234
GO:0016773	phosphotransferase activity, alcohol gro...	44	1	0.41	0.3428
GO:0022857	transmembrane transporter activity	45	1	0.42	0.3492
GO:0016853	isomerase activity	45	1	0.42	0.3492
GO:0140097	catalytic activity, acting on DNA	48	1	0.45	0.3680
GO:0042623	ATPase activity, coupled	51	1	0.48	0.3862
GO:0008233	peptidase activity	51	1	0.48	0.3862
GO:0005215	transporter activity	52	1	0.48	0.3922
GO:0046872	metal ion binding	241	3	2.25	0.3967
GO:0032550	purine ribonucleoside binding	54	1	0.5	0.4040
GO:0001883	purine nucleoside binding	54	1	0.5	0.4040
GO:0005524	ATP binding	244	3	2.27	0.4052
GO:0043168	anion binding	345	4	3.22	0.4080
GO:0032559	adenyl ribonucleotide binding	245	3	2.28	0.4080
GO:0043169	cation binding	246	3	2.29	0.4108
GO:0030554	adenyl nucleotide binding	247	3	2.3	0.4137
GO:0001882	nucleoside binding	57	1	0.53	0.4213
GO:0032549	ribonucleoside binding	57	1	0.53	0.4213
GO:1901363	heterocyclic compound binding	545	8	5.08	0.4410
GO:0097159	organic cyclic compound binding	545	8	5.08	0.4410
GO:0016829	lyase activity	61	1	0.57	0.4437
GO:0035639	purine ribonucleoside triphosphate bindi...	272	3	2.54	0.4834
GO:0036094	small molecule binding	382	4	3.56	0.5001
GO:0016301	kinase activity	72	1	0.67	0.5012
GO:0032555	purine ribonucleotide binding	280	3	2.61	0.5053
GO:0017076	purine nucleotide binding	282	3	2.63	0.5107
GO:0046914	transition metal ion binding	78	1	0.73	0.5303
GO:0003676	nucleic acid binding	258	6	2.41	0.5319
GO:0050662	coenzyme binding	81	1	0.76	0.5442
GO:0032553	ribonucleotide binding	295	3	2.75	0.5455
