Starting data and time	Monday 13 July 2020 (12:19:57)
Ending date and time	Monday 13 July 2020 (12:20:01)
Time consumed	0 hours, 0 minutes, and 4 seconds
Number of datasets	1
Total number of input genes	1514
Genes included in the analysis	1514
Genes filtered out from the analysis	0
Number of clusters	14
Total number of genes in clusters	786
Genes not included in any cluster	728
Min cluster size	16
Max cluster size	167
Average cluster size	56.1428571429
Number of samples (including replicates)	16
Number of conditions	4
