ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
ctx00220	Arginine biosynthesis	3/16	18/924	0.00297184240956723	0.0624086906009118	0.0624086906009118	Clo1313_2558/Clo1313_2054/Clo1313_2556	3
ctx01210	2-Oxocarboxylic acid metabolism	2/16	24/924	0.0621667024054629	0.623340037737924	0.623340037737924	Clo1313_2558/Clo1313_2556	2
ctx01230	Biosynthesis of amino acids	4/16	111/924	0.114782227070268	0.623340037737924	0.623340037737924	Clo1313_2537/Clo1313_2558/Clo1313_2054/Clo1313_2556	4
ctx00052	Galactose metabolism	1/16	12/924	0.190130054351366	0.623340037737924	0.623340037737924	Clo1313_2627	1
ctx02030	Bacterial chemotaxis	2/16	50/924	0.212917331670197	0.623340037737924	0.623340037737924	Clo1313_1412/Clo1313_1729	2
ctx00300	Lysine biosynthesis	1/16	15/924	0.232056553224166	0.623340037737924	0.623340037737924	Clo1313_2558	1
ctx00920	Sulfur metabolism	1/16	15/924	0.232056553224166	0.623340037737924	0.623340037737924	Clo1313_2537	1
ctx00020	Citrate cycle (TCA cycle)	1/16	20/924	0.297443545710985	0.623340037737924	0.623340037737924	Clo1313_0415	1
ctx00190	Oxidative phosphorylation	1/16	21/924	0.309878173220525	0.623340037737924	0.623340037737924	Clo1313_2935	1
ctx00250	Alanine, aspartate and glutamate metabolism	1/16	22/924	0.322106245455821	0.623340037737924	0.623340037737924	Clo1313_2054	1
ctx01110	Biosynthesis of secondary metabolites	5/16	220/924	0.326511448338913	0.623340037737924	0.623340037737924	Clo1313_2537/Clo1313_0415/Clo1313_2558/Clo1313_2054/Clo1313_2556	5
ctx00240	Pyrimidine metabolism	1/16	29/924	0.402182752583905	0.635066861946796	0.635066861946796	Clo1313_1145	1
ctx00270	Cysteine and methionine metabolism	1/16	29/924	0.402182752583905	0.635066861946796	0.635066861946796	Clo1313_2537	1
ctx00620	Pyruvate metabolism	1/16	31/924	0.423377907964531	0.635066861946796	0.635066861946796	Clo1313_0415	1
ctx00010	Glycolysis / Gluconeogenesis	1/16	34/924	0.453853678724494	0.635395150214292	0.635395150214292	Clo1313_0415	1
ctx02020	Two-component system	2/16	113/924	0.601566323562577	0.733255389097565	0.733255389097565	Clo1313_1412/Clo1313_1729	2
ctx01120	Microbial metabolism in diverse environments	2/16	114/924	0.606682952113258	0.733255389097565	0.733255389097565	Clo1313_0415/Clo1313_2558	2
ctx02010	ABC transporters	1/16	55/924	0.628504619226484	0.733255389097565	0.733255389097565	Clo1313_1473	1
ctx03010	Ribosome	1/16	67/924	0.703188850843559	0.745290997036621	0.745290997036621	Clo1313_0447	1
ctx01100	Metabolic pathways	8/16	496/924	0.709800949558687	0.745290997036621	0.745290997036621	Clo1313_2537/Clo1313_0415/Clo1313_2558/Clo1313_2054/Clo1313_1145/Clo1313_2935/Clo1313_2627/Clo1313_2556	8
ctx00970	Aminoacyl-tRNA biosynthesis	1/16	86/924	0.793321389671138	0.793321389671138	0.793321389671138	Clo1313_2723	1
