GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0043170	macromolecule metabolic process	465	23	15.07	0.0041
GO:0044238	primary metabolic process	682	29	22.11	0.0052
GO:0006807	nitrogen compound metabolic process	626	27	20.29	0.0095
GO:0019538	protein metabolic process	228	13	7.39	0.0192
GO:1901564	organonitrogen compound metabolic proces...	465	21	15.07	0.0270
GO:0006310	DNA recombination	23	3	0.75	0.0353
GO:0009261	ribonucleotide catabolic process	42	4	1.36	0.0429
GO:0009154	purine ribonucleotide catabolic process	42	4	1.36	0.0429
GO:0009146	purine nucleoside triphosphate catabolic...	42	4	1.36	0.0429
GO:0009203	ribonucleoside triphosphate catabolic pr...	42	4	1.36	0.0429
GO:0009207	purine ribonucleoside triphosphate catab...	42	4	1.36	0.0429
GO:1901362	organic cyclic compound biosynthetic pro...	254	13	8.23	0.0450
GO:0009143	nucleoside triphosphate catabolic proces...	43	4	1.39	0.0462
GO:0046130	purine ribonucleoside catabolic process	43	4	1.39	0.0462
GO:0006195	purine nucleotide catabolic process	43	4	1.39	0.0462
GO:0044237	cellular metabolic process	684	27	22.17	0.0468
GO:0009073	aromatic amino acid family biosynthetic ...	26	3	0.84	0.0485
GO:0006152	purine nucleoside catabolic process	44	4	1.43	0.0497
GO:0042454	ribonucleoside catabolic process	44	4	1.43	0.0497
GO:0072523	purine-containing compound catabolic pro...	45	4	1.46	0.0533
GO:1901658	glycosyl compound catabolic process	45	4	1.46	0.0533
GO:0034656	nucleobase-containing small molecule cat...	45	4	1.46	0.0533
GO:0009164	nucleoside catabolic process	45	4	1.46	0.0533
GO:0009072	aromatic amino acid family metabolic pro...	28	3	0.91	0.0585
GO:0000003	reproduction	13	2	0.42	0.0636
GO:1901069	guanosine-containing compound catabolic ...	14	2	0.45	0.0727
GO:0010608	posttranscriptional regulation of gene e...	14	2	0.45	0.0727
GO:0006417	regulation of translation	14	2	0.45	0.0727
GO:0034248	regulation of cellular amide metabolic p...	14	2	0.45	0.0727
GO:1901360	organic cyclic compound metabolic proces...	415	18	13.45	0.0735
GO:0019438	aromatic compound biosynthetic process	246	12	7.97	0.0765
GO:0046039	GTP metabolic process	15	2	0.49	0.0822
GO:0018202	peptidyl-histidine modification	15	2	0.49	0.0822
GO:0018106	peptidyl-histidine phosphorylation	15	2	0.49	0.0822
GO:1901136	carbohydrate derivative catabolic proces...	52	4	1.69	0.0826
GO:0006259	DNA metabolic process	74	5	2.4	0.0847
GO:0032268	regulation of cellular protein metabolic...	16	2	0.52	0.0921
GO:0051260	protein homooligomerization	16	2	0.52	0.0921
GO:1901565	organonitrogen compound catabolic proces...	54	4	1.75	0.0922
GO:0010556	regulation of macromolecule biosynthetic...	76	5	2.46	0.0927
GO:0009889	regulation of biosynthetic process	77	5	2.5	0.0969
GO:0044282	small molecule catabolic process	56	4	1.82	0.1023
GO:0051246	regulation of protein metabolic process	17	2	0.55	0.1024
GO:0009166	nucleotide catabolic process	57	4	1.85	0.1076
GO:1901292	nucleoside phosphate catabolic process	57	4	1.85	0.1076
GO:0046128	purine ribonucleoside metabolic process	57	4	1.85	0.1076
GO:0071704	organic substance metabolic process	719	30	23.31	0.1111
GO:0042278	purine nucleoside metabolic process	58	4	1.88	0.1130
GO:0008152	metabolic process	863	33	27.98	0.1153
GO:0006725	cellular aromatic compound metabolic pro...	407	17	13.19	0.1168
GO:1901657	glycosyl compound metabolic process	82	5	2.66	0.1191
GO:0009116	nucleoside metabolic process	82	5	2.66	0.1191
GO:0098655	cation transmembrane transport	19	2	0.62	0.1237
GO:0051259	protein complex oligomerization	19	2	0.62	0.1237
GO:0034641	cellular nitrogen compound metabolic pro...	471	19	15.27	0.1258
GO:0046434	organophosphate catabolic process	61	4	1.98	0.1298
GO:0022607	cellular component assembly	62	4	2.01	0.1357
GO:0006508	proteolysis	63	4	2.04	0.1417
GO:0018130	heterocycle biosynthetic process	245	11	7.94	0.1452
GO:1901068	guanosine-containing compound metabolic ...	21	2	0.68	0.1460
GO:0080090	regulation of primary metabolic process	88	5	2.85	0.1488
GO:1901576	organic substance biosynthetic process	453	18	14.68	0.1580
GO:0060255	regulation of macromolecule metabolic pr...	90	5	2.92	0.1594
GO:0009987	cellular process	775	28	25.12	0.1618
GO:0016310	phosphorylation	91	5	2.95	0.1648
GO:0009890	negative regulation of biosynthetic proc...	23	2	0.75	0.1691
GO:0010558	negative regulation of macromolecule bio...	23	2	0.75	0.1691
GO:0031327	negative regulation of cellular biosynth...	23	2	0.75	0.1691
GO:2000113	negative regulation of cellular macromol...	23	2	0.75	0.1691
GO:0044260	cellular macromolecule metabolic process	369	15	11.96	0.1745
GO:0065003	protein-containing complex assembly	45	3	1.46	0.1753
GO:0019222	regulation of metabolic process	93	5	3.01	0.1759
GO:0009144	purine nucleoside triphosphate metabolic...	69	4	2.24	0.1796
GO:0009205	purine ribonucleoside triphosphate metab...	69	4	2.24	0.1796
GO:0034220	ion transmembrane transport	24	2	0.78	0.1808
GO:0043648	dicarboxylic acid metabolic process	24	2	0.78	0.1808
GO:0044267	cellular protein metabolic process	173	8	5.61	0.1832
GO:0040007	growth	120	6	3.89	0.1837
GO:0009058	biosynthetic process	462	18	14.98	0.1847
GO:0009199	ribonucleoside triphosphate metabolic pr...	70	4	2.27	0.1862
