Protein	LL1210_T1_rep1	LL1210_T1_rep2	LL1210_T1_rep3	LL1210_T1_rep4	LL1210_T2_rep1	LL1210_T2_rep2	LL1210_T2_rep3	LL1210_T2_rep4	LL1210_T3_rep1	LL1210_T3_rep2	LL1210_T3_rep3	LL1210_T3_rep4	LL1210_T4_rep1	LL1210_T4_rep2	LL1210_T4_rep3	LL1210_T4_rep4
WP_003517959.1	20.89390125	21.27952375	19.103015	19.943025625	20.914701875	22.57746875	21.691434375	20.7712225	22.450879375	21.00459625	20.70117875	20.38277125	21.888895625	21.86293625	21.3202525	20.995275625
WP_003512585.1	25.14914625	24.296139375	24.19759625	24.954985	24.418450625	20.972616875	24.3191775	24.23616125	21.38974	20.38277125	20.80609625	20.71873	20.86459875	21.401630625	24.903281875	24.70227625
WP_003516661.1	27.1142875	26.1103275	26.9636775	27.30384375	27.183873125	26.97442625	27.084875	27.51737375	27.010399375	27.646275625	27.45859375	27.757805625	26.9228375	27.466655	27.10255375	27.41512375
WP_003518177.1	28.888413125	28.20414	28.82644	28.754635625	28.781973125	28.388450625	28.788488125	29.019549375	29.100364375	28.856164375	28.518089375	28.627389375	28.7228075	28.648219375	28.802464375	28.518089375
WP_003513624.1	26.97442625	24.078820625	27.13003875	26.097516875	26.35400125	26.33781875	25.741378125	26.644371875	26.78049125	26.25030375	25.876425625	25.949674375	27.24894	27.00651875	26.885138125	26.671685625
WP_003514581.1	28.53772375	28.98176875	29.056284375	28.957515625	28.711875625	29.073298125	29.019549375	28.77407	28.196641875	28.4332175	28.4453375	28.73195375	28.570725625	28.66352625	28.923091875	28.648219375
WP_003515703.1	26.955865	27.2046	25.604816875	27.78754375	27.51737375	27.5381625	27.59407	27.51429625	27.730024375	25.749335625	27.3746675	26.941329375	27.234518125	25.604816875	25.19705375	27.27157625
WP_003516667.1	26.36827625	27.290525	26.80824	26.48203625	26.566813125	26.3833925	26.74034625	26.23102625	27.04803125	26.423863125	26.28469875	25.89341125	26.720504375	26.68987125	27.028285	26.685508125
WP_003518917.1	25.6460675	27.193588125	26.40529375	26.07141875	26.93821875	26.955865	26.414261875	26.549408125	27.38737875	27.46979125	25.879383125	26.955865	27.282005625	27.679976875	27.466655	25.643181875
WP_003521330.1	30.289970625	30.4567475	29.825665	29.758248125	30.4567475	30.64684875	29.74865875	30.4103825	30.4567475	30.6238325	30.66789	30.60521625	30.706663125	30.842635	30.751103125	30.860639375
WP_003514583.1	22.153106875	22.422514375	21.623399375	22.922985625	22.03894	23.351498125	19.063555	21.95426875	21.72803375	23.565078125	22.9531925	21.691434375	23.14328875	23.625041875	23.58085875	22.226085
WP_003517274.1	27.05246	26.143384375	26.81153875	24.919606875	26.10607875	25.599823125	23.631071875	26.091291875	24.75044125	26.322133125	24.228424375	24.74707	26.8378475	23.372090625	26.3833925	27.24577125
WP_003520766.1	26.745058125	26.63961	26.490955625	26.357836875	27.49716	27.48388875	27.1142875	27.5381625	27.791651875	27.56984625	27.028285	27.838225	28.323926875	27.51737375	27.679976875	28.122061875
WP_003516312.1	30.438325	30.08581	30.860639375	30.860639375	30.372144375	29.758248125	30.517350625	30.289970625	30.534640625	30.682499375	29.9086475	30.158661875	31.1282625	30.828800625	30.4103825	30.91932375
WP_003519009.1	26.770380625	27.746625625	26.990815625	26.754238125	26.941329375	26.28068125	26.57585	27.340723125	25.467361875	26.177148125	25.811335	26.1237025	25.40619	25.3106325	25.05587625	25.903608125
WP_003513356.1	26.35400125	26.551221875	26.74034625	24.628998125	25.720604375	25.25938875	27.091205	25.876425625	25.40284125	25.47300625	25.55699625	25.898998125	23.519315	24.764280625	23.7674225	23.372090625
WP_003517251.1	22.321244375	24.167853125	24.223251875	23.08863875	22.497463125	23.519315	23.197924375	23.376556875	23.398518125	23.8726475	24.00876875	24.32506875	20.40290875	23.439671875	24.472315625	24.490945625
WP_003517278.1	26.494405625	25.847364375	26.065756875	26.005765625	26.473813125	26.524205625	25.661275	26.05410125	27.70001625	25.939809375	26.143384375	25.9695125	25.54289625	25.78636125	24.73560125	25.22574625
ADU73753.1	30.08581	30.06378	29.847579375	29.917793125	30.289970625	30.487735	29.863953125	29.982141875	30.3065575	30.013214375	29.89801625	29.96844	29.644335	29.4738725	29.494960625	29.426916875
WP_003512581.1	26.419738125	26.426650625	28.0326225	27.819520625	26.046314375	28.102400625	28.518089375	25.251026875	23.858928125	25.119003125	25.242318125	25.847364375	24.510636875	26.579724375	25.95316	24.754656875
WP_003513261.1	21.4309625	24.642343125	22.51086875	23.3568725	22.629341875	23.07111375	20.126115	23.14328875	22.93136	23.744260625	22.204098125	21.944568125	23.330428125	22.372824375	20.175424375	23.525544375
WP_004463784.1	29.00506	28.758429375	28.7228075	29.31414625	28.53772375	28.512756875	28.9974825	28.605446875	30.119774375	29.426916875	29.031661875	29.027774375	29.4062375	29.253490625	29.34305375	29.12888125
WP_003517255.1	20.189625	19.109999375	26.655389375	25.720604375	26.309135	23.976969375	26.932685	26.058094375	26.152921875	26.357836875	26.17201875	26.885138125	20.00905125	23.90499625	26.627420625	26.21135125
WP_003517824.1	28.211093125	27.066285	27.866623125	28.09675375	28.30526875	28.475548125	27.646275625	27.825105625	27.109009375	27.9353725	27.695949375	27.916180625	28.11541125	28.1528	27.910618125	27.22479625
WP_003514917.1	28.483914375	27.940721875	28.217774375	27.76292125	28.874101875	28.818203125	27.910618125	28.13484	28.512756875	27.679976875	28.355355	28.58045625	28.957515625	28.3118525	29.149664375	28.874101875
WP_003518187.1	20.871021875	21.769264375	21.944568125	21.2620625	21.83539625	21.516298125	21.0139825	21.290960625	21.607101875	20.59059875	20.27164	20.748593125	22.06855125	22.03894	19.894756875	22.372824375
WP_003512577.1	27.88562875	28.44144	27.721485625	27.382011875	27.665245	27.56414125	28.127669375	27.76292125	28.20414	28.27724125	28.345418125	28.09675375	28.3118525	28.5296575	28.323926875	28.4332175
WP_003519665.1	22.525711875	22.136825625	21.7946425	22.271401875	21.37425	21.607101875	20.819865	20.140844375	23.439671875	22.03894	21.91602625	21.873744375	23.946816875	23.532788125	22.891198125	24.350943125
WP_003512950.1	20.2212625	21.457670625	19.86998625	19.86506375	20.20507375	20.07011625	21.25372375	20.030561875	21.086918125	20.51357125	22.922985625	20.679980625	21.607101875	19.91989375	20.45441125	20.445790625
WP_003521254.1	23.584960625	23.635748125	23.762206875	24.47811875	24.425781875	23.829384375	22.84375875	24.25456875	24.06911125	23.884695625	23.715405625	24.487699375	23.915586875	24.46925625	24.639144375	23.781480625
WP_003512952.1	20.631223125	24.20312	23.858928125	23.829384375	23.49950375	23.635748125	21.584161875	23.715405625	20.50314125	20.955516875	24.3456525	20.995275625	21.95426875	20.65444125	23.997395	21.676038125
WP_003517648.1	26.597419375	28.45009375	27.940721875	28.475548125	28.29681875	28.67547625	28.235223125	28.122061875	28.11541125	28.09675375	27.963148125	28.021910625	27.866623125	28.0326225	27.658588125	28.002060625
WP_003513246.1	23.710381875	20.225513125	20.530404375	21.24296875	21.2620625	20.871021875	20.986269375	21.10015625	23.458798125	21.4207875	20.88430625	20.811183125	23.6580925	21.760701875	20.70117875	21.150336875
WP_003514478.1	24.398178125	20.60899625	24.648045625	22.945244375	20.341311875	19.828724375	23.36396625	23.937255	21.3202525	24.2084575	20.75979625	20.2386275	25.02487375	24.490945625	24.233489375	22.548111875
WP_003518706.1	26.409458125	26.327734375	25.67928	25.949674375	25.9933625	24.903281875	27.099111875	26.9228375	26.263869375	26.29330625	27.02329875	27.509524375	25.82662125	25.702900625	19.272355	26.322133125
WP_003512565.1	24.06911125	24.301911875	23.84523875	25.08985875	23.049295625	22.945244375	23.800745	23.8340125	22.9074625	22.687243125	23.20551375	22.372824375	24.487699375	24.689263125	22.94000375	23.94275625
WP_003515445.1	27.97211875	29.48289875	28.127669375	29.692578125	28.287831875	28.6564775	28.00881875	28.102400625	29.204096875	28.374038125	27.73623875	27.75291	28.029361875	27.6725525	28.122061875	28.345418125
WP_003516973.1	23.98562	24.559133125	24.085339375	24.405164375	24.43268125	24.095416875	23.261400625	23.83995	24.405164375	23.635748125	24.642343125	23.858928125	24.12329625	23.829384375	23.744260625	23.36396625
ADU74051.1	27.686820625	28.49862	28.13484	28.951313125	28.257121875	28.329155	28.554449375	28.22247	27.22934625	27.95395	28.251463125	28.14577375	28.196641875	28.888413125	28.167375625	28.852501875
WP_003513987.1	20.962300625	21.328675625	20.377735	22.03894	21.52640125	21.401630625	20.871021875	20.556785625	22.24502375	21.054855625	22.4012775	21.086918125	22.525711875	23.08183625	21.888895625	21.905889375
WP_003515461.1	29.237778125	29.50560625	29.5894225	29.5389525	29.5491425	29.70607375	29.847579375	29.5823275	29.863953125	29.00506	29.741314375	29.107650625	29.433480625	29.692578125	29.204096875	29.825665
WP_003512267.1	27.084875	26.149040625	28.1528	28.17347125	27.916180625	28.1528	26.885138125	28.18806125	27.45859375	27.963148125	27.85814375	26.01808875	27.905995	27.825105625	27.791651875	28.079493125
WP_003515443.1	21.07658625	22.56857875	21.473665	21.38974	21.07658625	24.8847325	20.727641875	21.59817875	22.30690125	21.214309375	21.17305	21.141705625	22.559124375	19.80724375	21.2620625	20.59059875
WP_003516971.1	26.516005625	27.094738125	27.1349325	27.042134375	26.845985625	27.091205	26.76211625	26.69855875	25.903608125	26.605791875	26.549408125	26.825299375	25.736598125	26.78049125	26.831989375	25.805215625
WP_003517674.1	21.59817875	21.715	20.727641875	20.778870625	19.35652125	20.914701875	20.641185	21.495591875	21.457670625	19.4154625	21.442355	20.94462125	19.96988	21.5412275	19.861188125	21.3423025
WP_003516556.1	25.651139375	27.43166875	24.97511875	25.3243025	25.67928	25.489669375	24.162264375	25.604816875	25.625155	25.4942475	25.949674375	27.290525	25.690059375	25.361748125	26.275745	25.153906875
WP_003512265.1	28.58045625	28.34142375	27.9202275	27.881485625	28.13484	28.38340625	27.686820625	28.818203125	28.483914375	28.483914375	28.334079375	28.065174375	28.53772375	28.68204125	28.77407	28.9162125
WP_003521240.1	26.03372625	27.78754375	27.0325075	27.440603125	26.955865	27.13003875	27.0580275	27.49716	26.33781875	25.944725625	27.509524375	27.41512375	26.097516875	27.1803675	26.890498125	27.39611625
WP_003516977.1	19.9792925	25.633886875	23.519315	25.732284375	25.860513125	25.88933125	20.71873	25.6634815625	25.781599375	25.908179375	19.40690625	25.849946875	20.135776875	26.494405625	26.263869375	21.3815075
WP_003518165.1	25.579846875	25.57145875	26.005765625	25.579846875	22.07842875	27.22479625	26.05109875	26.831989375	26.540605	26.81153875	26.9494425	26.8563825	26.932685	22.2953475	23.635748125	24.301911875
WP_003518681.1	21.30531125	22.915033125	22.051628125	22.699719375	22.06855125	22.51086875	21.37425	22.226085	19.886744375	22.35252625	22.36057625	22.24502375	22.658814375	22.548111875	24.25456875	22.3827475
WP_003517341.1	25.129544375	25.91587	24.405164375	26.720504375	25.02866	25.281240625	25.0943	24.437573125	25.763553125	26.724068125	25.651139375	26.69855875	26.650185	25.72418	25.68467	25.834799375
WP_003514804.1	21.27952375	19.77762	20.914701875	21.5071275	20.38277125	23.6472925	20.778870625	23.344218125	22.271401875	22.67937625	21.5412275	21.780494375	22.774296875	21.07658625	21.753935	22.641
WP_003512799.1	20.45441125	23.547530625	23.641604375	23.84523875	23.41931625	23.29382125	23.78761875	23.20551375	24.9086725	23.670298125	23.278319375	23.69047125	24.06911125	23.80683125	24.409578125	24.21962125
WP_003513828.1	28.874101875	28.9295225	28.66706	28.329155	29.00506	29.100364375	28.196641875	28.287831875	28.67547625	28.874101875	29.334099375	28.711875625	28.89551125	28.942549375	28.788488125	29.11328875
ADU74726.1	27.138233125	27.541585625	27.39611625	27.522853125	26.95934	27.532890625	27.324870625	27.091205	26.439326875	27.38737875	27.26709125	27.109009375	27.2046	27.0370625	27.420851875	27.41137
WP_003514291.1	26.45591375	26.53701	25.89575625	24.490945625	25.270648125	25.4942475	25.69780125	25.95316	25.04041	26.47711125	26.6103475	25.535755	25.133345625	26.21135125	25.14497125	26.29978375
WP_003516238.1	29.50560625	29.448650625	29.644335	30.158661875	29.950071875	29.8094275	30.199354375	29.426916875	29.741314375	30.08581	29.34903375	29.463756875	28.56036625	29.29275375	28.689591875	28.802464375
WP_003517353.1	27.07182	27.314524375	27.148384375	27.028285	27.89455625	28.44144	29.039405625	28.140844375	29.08963875	28.570725625	28.7170175	28.409855625	28.388450625	28.965665625	28.6564775	28.14577375
WP_003514293.1	24.46925625	24.8201825	24.3551725	24.25456875	24.30735875	24.383344375	24.1569475	24.286006875	23.7502875	22.422514375	23.6580925	23.08183625	23.3568725	23.631071875	22.858551875	23.542025625
WP_003517370.1	21.824098125	22.4147625	22.858551875	19.843239375	22.6190275	19.922748125	23.08183625	22.283006875	22.107603125	24.596905	23.217891875	23.675421875	22.4147625	23.584960625	24.53878	19.1357225
WP_003519238.1	23.403901875	22.9074625	26.9046375	22.670975	22.915033125	19.718440625	20.70117875	22.88103	23.620830625	22.107603125	22.82666125	22.497463125	20.48917375	23.445369375	27.51737375	26.95934
WP_003518486.1	27.532890625	28.38340625	27.658588125	26.990815625	27.838225	27.491746875	27.558690625	28.029361875	27.640669375	27.85814375	27.382011875	27.22934625	27.76292125	28.18806125	27.963148125	28.235223125
WP_003513339.1	26.990815625	29.073298125	26.96994625	26.918065625	26.430128125	27.27157625	26.999356875	26.82825	27.18810125	27.352008125	27.218120625	27.07182	27.2392175	27.24577125	26.999356875	27.598265
WP_003513857.1	22.1704175	22.488686875	24.021028125	23.458798125	22.651115625	22.144555625	23.77621625	23.063835625	21.780494375	23.929875	21.824098125	23.61521875	21.5412275	20.315373125	21.1982975	21.72803375
WP_003511548.1	25.482841875	25.548573125	25.871198125	25.504398125	24.0473725	20.50314125	25.456995	25.658	23.670298125	24.27849625	21.10885	24.12329625	25.281240625	21.676038125	25.504398125	25.185610625
WP_003517008.1	28.263679375	26.666941875	27.31028125	27.51737375	26.918065625	28.13484	27.300545625	27.45859375	28.00881875	27.45859375	27.24894	27.834309375	27.17078625	27.0580275	26.9494425	27.282005625
WP_003512248.1	28.043014375	28.079493125	27.996385	27.686820625	27.967146875	28.122061875	27.905995	27.963148125	28.13484	28.14577375	27.957691875	27.803308125	27.95395	27.81179625	27.916180625	27.905995
WP_003518554.1	31.059940625	30.828800625	30.317098125	30.289970625	29.85389125	30.2661075	30.487735	30.2661075	30.317098125	30.38953875	30.158661875	30.42459	30.66789	30.324573125	30.17186125	30.66789
