LL1210_T1_rep1	LL1210_T1_rep2	LL1210_T1_rep3	LL1210_T1_rep4	LL1210_T2_rep1	LL1210_T2_rep2	LL1210_T2_rep3	LL1210_T2_rep4	LL1210_T3_rep1	LL1210_T3_rep2	LL1210_T3_rep3	LL1210_T3_rep4	LL1210_T4_rep1	LL1210_T4_rep2	LL1210_T4_rep3	LL1210_T4_rep4
WP_003517959.1	21.5068745273727	20.8315836578502	19.69123449406	19.9255132614246	NA	22.7646442994735	22.2546723771126	NA	22.1481332868467	NA	20.9782852286395	20.7436006990731	NA	21.2181027429784	NA	20.6822924458659
WP_003512585.1	25.3064949223544	24.1747388878946	24.2450534575298	24.8235557582821	24.4999300848121	NA	24.4682456164354	24.368630035642	NA	NA	NA	NA	NA	NA	24.8368412123094	24.5834677981139
WP_003516661.1	27.2125989915632	26.042846550654	26.9815860773951	27.2396570541935	27.2163200289712	26.998615956457	27.1574364306698	27.5692891620779	26.9582404918731	27.6673266006208	27.5130748983163	27.8220282767254	26.7992834059357	27.3860281743578	27.0680125477696	27.3498313089395
WP_003518177.1	28.9448253915019	28.1604335256689	28.8486521110602	28.7041412379302	28.8098246094921	28.4081746554004	28.846274245632	29.0529423430565	29.0633212695639	28.8753807045721	28.5736654156617	28.6797746627414	28.6434361973782	28.6031627767413	28.7789440501667	28.4794519763606
WP_003513624.1	27.0733942635117	23.9360556795849	27.1510407799083	26.003356587902	26.3960229255855	26.3695147040105	25.8388580556137	26.7086884561445	26.7249869254917	26.2784526697551	25.9486557003396	26.0548562158828	27.1335426800094	26.9406836447897	26.8463333156999	26.6083539806564
WP_003514581.1	28.6127194443645	28.9437773480013	29.0682760107584	28.9122795962541	28.7287780495793	29.0863670223116	29.062139068034	28.8209240007623	28.1547261924167	28.4512357030353	28.4927882995143	28.7820421653146	28.4948340838929	28.6173240170997	28.9018038576866	28.608316327368
WP_003515703.1	27.0578124787267	27.1504791582781	25.6395834878506	27.7203922177882	27.5458486622601	27.5596851812254	27.6582349638729	27.5633385978749	27.6733319553839	25.7812602744551	27.4389080677547	27.0244268310215	27.1203947847621	25.509064585445	25.1517251975917	27.2150947950106
WP_003516667.1	26.4813935002031	27.2406961836539	26.8312224284674	26.4003998251029	26.6039836152693	26.4159175191998	26.815258616252	26.3027240003887	27.0000552974341	26.4453870993115	26.3565275394789	25.9925666720865	26.5978990995626	26.6181299314745	26.9978548777681	26.6210744878774
WP_003518917.1	25.7870421004595	27.1391796223278	26.4300896619775	25.9831716360889	26.9697402196412	26.9761226204315	26.4944922472397	26.6126068212297	27.3358786966704	27.4857613013543	25.953568489807	27.0311359907152	27.1759674582743	27.6185824142585	27.4223805487815	25.5538542430292
WP_003521330.1	30.3302129356041	30.4327607241058	29.8364662543146	29.7213856386482	30.4674732777196	30.6563968612455	29.7920103585111	30.4334949463295	30.4336317439594	30.6366665928574	30.6899358669096	30.6407816870762	30.6555320354067	30.8224836539554	30.7408067260093	30.8431609957334
WP_003514583.1	22.8165402124706	22.0943662880414	21.7605813596553	22.5689761456581	22.3455883317298	23.4484565260402	NA	22.4107562469645	21.2416704497434	23.6399473451704	23.2120441553894	22.2827046472052	22.6289729729197	23.424610469478	23.4834704018563	21.7924068227809
WP_003517274.1	27.160806191271	26.080770113874	26.8355668608275	24.7944291283354	26.1530616608215	25.6415273908594	23.8412301471382	26.1704135435787	24.6520458336127	26.3489469459418	24.351759205613	24.8900269827673	26.7112270429406	23.138358303918	26.3430111884119	27.1859534544081
WP_003520766.1	26.8500822813129	26.5837448917928	26.5103510126976	26.2718521189224	27.5247940045082	27.5040484750314	27.1865974017407	27.5907698510458	27.7479702736767	27.5894079365818	27.0914972534613	27.9000975714041	28.2334169603899	27.446877194902	27.6478469085867	28.0707660931299
WP_003516312.1	30.479545592748	30.0633061992381	30.8648058636229	30.8391845115283	30.3906231616652	29.7777732883567	30.544385440897	30.314784315333	30.5162710363259	30.6945015538076	29.9316210163016	30.1922685737649	31.1022975469732	30.8070368070825	30.3913556179143	30.8944181650233
WP_003519009.1	26.8793101795984	27.6894698539196	27.01619650282	26.6772614746808	26.9747343566659	26.3164937982476	26.6510025732388	27.4040426314758	25.3834427009506	26.204567589068	25.8800020081942	26.2185950013071	25.2316047208402	25.2154678393431	24.998192566471	25.8273142460438
WP_003513356.1	26.4626102418013	26.4922639318535	26.759779697967	24.4853631946553	25.7700202118383	25.3085980960384	27.1626663323228	25.9536432209599	25.3246253565692	25.4946314885768	25.6387545787035	25.9991607877384	23.1024275120829	24.6364591781351	23.6724684396141	23.1650283876045
WP_003517251.1	22.935802772634	24.0261233603113	24.2727082662209	22.8028071536267	22.7453746314616	23.6035851683681	23.4804749561973	23.5828119487269	23.2188829856423	23.9260729235425	24.1531881391729	24.4814883953924	NA	23.2117643586136	24.4047297525382	24.3688435885568
