Protein	dC	links	p.value	q.value
ADU73149.1	0.681525743769365	5	0.211453651685393	0.24969320066335
ADU73379.1	0.778539044355513	37	0.0567064606741573	0.108827493261456
ADU73504.1	0.706006335158364	20	0.161783707865169	0.209336966394187
ADU73598.1	0.71133835099932	6	0.151825842696629	0.201255813953488
ADU73719.1	0.832609665012271	10	0.0210463483146067	0.0615400410677618
ADU73753.1	0.824352485622881	31	0.0245294943820225	0.0663705103969754
ADU73817.1	0.718318521255776	8	0.139241573033708	0.190470701248799
ADU73859.1	0.769212922233938	13	0.0663693820224719	0.120548469387755
ADU73917.1	0.751740900967218	13	0.0874508426966292	0.143524684270953
ADU73938.1	0.783809949949491	16	0.0520926966292135	0.103027777777778
ADU73992.1	0.728859634547871	10	0.121509831460674	0.175449041372351
ADU74011.1	0.750103926849582	15	0.0896067415730337	0.144727891156463
ADU74051.1	1.00080591494731	12	0.00077247191011236	0.0234042553191489
ADU74165.1	0.757896787731245	7	0.0793820224719101	0.135215311004785
ADU74168.1	0.669657447327042	13	0.237289325842697	0.272280419016922
ADU74289.1	0.810419753374342	7	0.0319101123595506	0.0758597662771285
ADU74371.1	0.686720104984711	6	0.200688202247191	0.241776649746193
ADU74393.1	0.757602774399111	19	0.0797050561797753	0.135435041716329
ADU74510.1	0.802103425956243	32	0.0372682584269663	0.0839715189873418
ADU74579.1	0.882648836944684	5	0.0080688202247191	0.0403157894736842
ADU74599.1	0.829203275312729	16	0.0224016853932584	0.0630571992110454
ADU74708.1	0.632679862593606	11	0.318412921348315	0.34402124430956
ADU74726.1	0.670190840728607	15	0.235969101123596	0.271202582728006
ADU74909.1	0.792171514822228	16	0.0445997191011236	0.0945089285714286
ADU74998.1	0.804640744792757	12	0.035625	0.0817467948717949
ADU75314.1	0.914627290058387	6	0.00436095505617977	0.0350785340314136
ADU75526.1	0.83714997964245	14	0.0193890449438202	0.0601273885350319
ADU75560.1	0.874366500086059	15	0.0094873595505618	0.0434267912772586
ADU75615.1	0.759817571787905	68	0.0768609550561798	0.132185990338164
ADU75721.1	0.987615056211513	14	0.000969101123595506	0.0242105263157895
ADU75724.1	0.686375842118006	21	0.201327247191011	0.242136824324324
ADU75731.1	0.68161086185564	80	0.211207865168539	0.24969320066335
ADU75877.1	0.960085073075445	18	0.00173455056179775	0.027752808988764
ADU75920.1	0.716056139507399	11	0.143272471910112	0.194489990467112
WP_003511511.1	0.720806170901084	36	0.134950842696629	0.187482926829268
WP_003511531.1	0.819612885659269	24	0.0269943820224719	0.0696376811594203
WP_003511544.1	0.867005079462617	13	0.011060393258427	0.0467359050445104
WP_003511546.1	0.750588702784184	6	0.0889255617977528	0.144225512528474
WP_003511547.1	0.709761519888037	5	0.154831460674157	0.203959296947271
WP_003511548.1	0.787297810819237	10	0.0488483146067416	0.0993714285714286
WP_003511549.1	0.777296868072429	9	0.0578160112359551	0.11
WP_003511558.1	0.908266250829564	21	0.00485955056179775	0.0353061224489796
WP_003511560.1	0.828490765107795	9	0.0227176966292135	0.0635952848722986
WP_003511564.1	0.926883760021411	19	0.00347612359550562	0.0339102564102564
WP_003511571.1	0.661636356178322	13	0.254845505617978	0.287387173396675
WP_003511573.1	0.743732883093509	9	0.0987148876404494	0.154472527472527
WP_003511577.1	0.695683280246206	6	0.182380617977528	0.226933797909408
WP_003511583.1	0.739652195372862	12	0.104894662921348	0.160096463022508
WP_003511587.1	0.751427636445091	12	0.0877879213483146	0.143524684270953
WP_003511591.1	0.942157521093707	4	0.00253511235955056	0.0322608695652174
WP_003511596.1	0.684162714098552	18	0.205955056179775	0.245834031852473
WP_003511598.1	0.701643651065259	74	0.170428370786517	0.217075134168157
WP_003511600.1	0.905375706439579	11	0.00514747191011236	0.0358018867924528
WP_003511604.1	0.751246064149938	13	0.0880547752808989	0.143631156930126
WP_003511606.1	0.704244359666688	28	0.165084269662921	0.212742081447964
WP_003511607.1	0.735125621694409	6	0.111924157303371	0.166767782426778
WP_003511610.1	0.77082524311154	8	0.0647612359550562	0.118993548387097
WP_003511613.1	0.974458636478348	17	0.0013061797752809	0.0254054054054054
WP_003511615.1	0.84364611603846	16	0.017127808988764	0.0572535211267606
WP_003511616.1	0.777557304175392	13	0.0576474719101124	0.11
WP_003511628.1	0.926813632440588	28	0.00347612359550562	0.0339102564102564
WP_003511639.1	0.650453148647711	5	0.279536516853933	0.309774319066148
WP_003511651.1	0.68225988525475	62	0.209859550561798	0.249033333333333
WP_003511653.1	0.758842132429135	81	0.0783005617977528	0.133853541416567
WP_003511658.1	0.835443396636427	47	0.0199719101123596	0.060146750524109
WP_003511665.1	0.743075918193357	37	0.0996769662921348	0.155465498357065
WP_003511674.1	0.701902055984443	37	0.169873595505618	0.217051971326165
WP_003511675.1	0.601105182463624	9	0.383890449438202	0.40136563876652
WP_003511677.1	0.747872418868758	3	0.092689606741573	0.147740492170022
WP_003511680.1	NA	0	0	0
WP_003511686.1	0.681512585044971	12	0.211467696629213	0.24969320066335
WP_003511688.1	0.81216998834016	14	0.0308497191011236	0.0744745762711864
WP_003511692.1	0.724378553902121	4	0.128988764044944	0.181859545004946
WP_003511705.1	0.838964728923881	5	0.0187640449438202	0.0597117516629712
WP_003511707.1	0.628847989922892	10	0.326692415730337	0.350837104072398
WP_003511713.1	0.907275773887745	5	0.00495786516853933	0.0354773869346734
WP_003511715.1	0.885839064323504	28	0.00752106741573034	0.0390875912408759
WP_003511737.1	0.66846510399143	7	0.239775280898876	0.273370696557246
WP_003511746.1	NA	0	0	0
WP_003511753.1	0.796335826376344	11	0.0412289325842697	0.090184331797235
WP_003511777.1	0.863461273596742	14	0.0117626404494382	0.0479428571428571
WP_003511787.1	0.791657142566725	34	0.0450702247191011	0.09476401179941
WP_003511862.1	0.645519058565518	80	0.290035112359551	0.318189522342065
WP_003511911.1	0.781323783770635	12	0.0542205056179775	0.10551912568306
WP_003511913.1	0.713448183236471	7	0.14815308988764	0.199028301886792
WP_003511915.1	0.705968041097417	13	0.16185393258427	0.209336966394187
WP_003511918.1	0.703691138252915	11	0.16625702247191	0.213673285198556
WP_003511964.1	0.654065230782196	39	0.271875	0.303409090909091
WP_003511976.1	0.793112280235559	24	0.0438061797752809	0.0935232383808096
WP_003511984.1	0.925475235357232	22	0.00355337078651685	0.0339102564102564
WP_003511986.1	0.83673691446914	20	0.0195365168539326	0.0601273885350319
WP_003512015.1	0.8260577539314	36	0.0238061797752809	0.0653179190751445
WP_003512019.1	0.672577302553892	13	0.230505617977528	0.265781376518219
WP_003512022.1	0.849203786841833	2	0.0156039325842697	0.0551358024691358
WP_003512025.1	0.73005348572724	11	0.119662921348315	0.173523421588595
WP_003512026.1	0.822619523917199	7	0.0254494382022472	0.0676119402985075
WP_003512034.1	0.651481179091239	38	0.277429775280899	0.307918939984411
WP_003512035.1	0.724863510568335	60	0.128075842696629	0.18111221449851
WP_003512048.1	0.477718221543561	5	0.609445224719101	0.615496453900709
WP_003512050.1	0.796117204443431	6	0.0413974719101124	0.0902756508422664
WP_003512055.1	0.446910540778005	4	0.663813202247191	0.667563559322034
WP_003512062.1	0.755681997045195	9	0.0820786516853933	0.137992916174734
WP_003512064.1	0.780435962687296	18	0.054936797752809	0.106413043478261
WP_003512072.1	0.807094607771568	11	0.0339255617977528	0.0797194719471947
WP_003512074.1	0.682500667770081	16	0.209515449438202	0.24884070058382
WP_003512076.1	0.819920244150535	49	0.0268469101123596	0.0693829401088929
WP_003512078.1	0.865380921714358	22	0.0114325842696629	0.0473255813953488
WP_003512093.1	0.578573391252054	2	0.427099719101124	0.441036983321247
WP_003512095.1	0.720318906156226	19	0.135674157303371	0.187755102040816
WP_003512097.1	0.745593031522179	10	0.0959058988764045	0.152013348164627
WP_003512101.1	1.13297772725285	14	2.10674157303371e-05	0.0025
WP_003512104.1	0.842899459679779	45	0.017373595505618	0.0576689976689977
WP_003512106.1	0.80022235910725	25	0.0386095505617978	0.0857632398753894
WP_003512109.1	0.823831441924349	87	0.0247331460674157	0.0664528301886792
WP_003512112.1	0.909769296906059	3	0.00470505617977528	0.0350785340314136
WP_003512113.1	0.751572806626689	52	0.0876123595505618	0.143524684270953
WP_003512117.1	0.893003838505806	11	0.00652387640449438	0.0377642276422764
WP_003512119.1	0.637505285372033	9	0.30810393258427	0.334257425742574
WP_003512125.1	0.838399323772577	5	0.0189115168539326	0.0597117516629712
WP_003512126.1	0.684748263981987	17	0.204683988764045	0.245138772077376
WP_003512127.1	0.804802478619103	7	0.0355758426966292	0.0817467948717949
WP_003512148.1	0.822951344999723	2	0.025252808988764	0.0674671669793621
WP_003512157.1	0.828460484758302	9	0.0227317415730337	0.0635952848722986
WP_003512164.1	0.985329024809176	2	0.00105337078651685	0.025
WP_003512173.1	0.685401364214212	95	0.203307584269663	0.244106239460371
WP_003512174.1	0.824935076645054	46	0.0242556179775281	0.0661685823754789
WP_003512175.1	0.741906688533318	79	0.101481741573034	0.157301414581066
WP_003512177.1	0.715341988564921	32	0.144592696629213	0.195536562203229
WP_003512178.1	0.910502600635514	12	0.00464185393258427	0.0350785340314136
WP_003512179.1	0.67399142090407	30	0.227373595505618	0.26302193338749
WP_003512183.1	0.734088468858453	17	0.113384831460674	0.167694704049844
WP_003512188.1	0.894834743337321	7	0.00628511235955056	0.0376050420168067
WP_003512190.1	0.898254301162326	20	0.00589185393258427	0.0372888888888889
WP_003512194.1	0.917045249806182	21	0.00415730337078652	0.0350785340314136
