ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
ctx02040	Flagellar assembly	6/45	31/924	0.00278663900403133	0.103105643149159	0.0967990390874041	Clo1313_1749/Clo1313_2915/Clo1313_1736/Clo1313_2919/Clo1313_0056/Clo1313_2917	6
ctx03440	Homologous recombination	4/45	22/924	0.0188693681063037	0.349083309966619	0.327731130267381	Clo1313_0980/Clo1313_2053/Clo1313_0004/Clo1313_0739	4
ctx00030	Pentose phosphate pathway	3/45	15/924	0.032568147987317	0.358346201684244	0.336427443970983	Clo1313_1875/Clo1313_0997/Clo1313_0296	3
ctx00051	Fructose and mannose metabolism	3/45	16/924	0.0387401299118102	0.358346201684244	0.336427443970983	Clo1313_1875/Clo1313_2093/Clo1313_0997	3
ctx01230	Biosynthesis of amino acids	9/45	111/924	0.0790611107615997	0.585052219635838	0.549266664238482	Clo1313_0428/Clo1313_2924/Clo1313_1295/Clo1313_2537/Clo1313_1875/Clo1313_0708/Clo1313_2093/Clo1313_0997/Clo1313_0296	9
ctx03010	Ribosome	6/45	67/924	0.0996283271564928	0.593393358634075	0.557097605545505	Clo1313_0468/Clo1313_0306/Clo1313_1034/Clo1313_0454/Clo1313_0472/Clo1313_0316	6
ctx00052	Galactose metabolism	2/45	12/924	0.11226360839023	0.593393358634075	0.557097605545505	Clo1313_0144/Clo1313_0997	2
ctx00240	Pyrimidine metabolism	3/45	29/924	0.163290027953597	0.755216379285388	0.709022489798515	Clo1313_0186/Clo1313_1580/Clo1313_1268	3
ctx01200	Carbon metabolism	5/45	63/924	0.186071273708861	0.761410706581245	0.714837932209988	Clo1313_1875/Clo1313_0708/Clo1313_2093/Clo1313_0997/Clo1313_0296	5
ctx00860	Porphyrin and chlorophyll metabolism	2/45	18/924	0.217105258938735	0.761410706581245	0.714837932209988	Clo1313_0701/Clo1313_1251	2
ctx00010	Glycolysis / Gluconeogenesis	3/45	34/924	0.22681249377677	0.761410706581245	0.714837932209988	Clo1313_1875/Clo1313_2093/Clo1313_0997	3
ctx02024	Quorum sensing	3/45	40/924	0.308187344142321	0.761410706581245	0.714837932209988	Clo1313_1308/Clo1313_1259/Clo1313_1024	3
ctx00520	Amino sugar and nucleotide sugar metabolism	3/45	44/924	0.363444010328063	0.761410706581245	0.714837932209988	Clo1313_0147/Clo1313_0144/Clo1313_2894	3
ctx00790	Folate biosynthesis	1/45	10/924	0.394549606765136	0.761410706581245	0.714837932209988	Clo1313_0658	1
ctx03018	RNA degradation	1/45	10/924	0.394549606765136	0.761410706581245	0.714837932209988	Clo1313_0997	1
ctx03070	Bacterial secretion system	1/45	10/924	0.394549606765136	0.761410706581245	0.714837932209988	Clo1313_1259	1
ctx03410	Base excision repair	1/45	10/924	0.394549606765136	0.761410706581245	0.714837932209988	Clo1313_0975	1
ctx00270	Cysteine and methionine metabolism	2/45	29/924	0.417991803908941	0.761410706581245	0.714837932209988	Clo1313_2924/Clo1313_2537	2
ctx01212	Fatty acid metabolism	1/45	11/924	0.42435843356554	0.761410706581245	0.714837932209988	Clo1313_1024	1
ctx00680	Methane metabolism	2/45	30/924	0.435310711579647	0.761410706581245	0.714837932209988	Clo1313_1875/Clo1313_0997	2
ctx02030	Bacterial chemotaxis	3/45	50/924	0.445084260476486	0.761410706581245	0.714837932209988	Clo1313_0937/Clo1313_1413/Clo1313_0056	3
ctx00061	Fatty acid biosynthesis	1/45	12/924	0.452730690399659	0.761410706581245	0.714837932209988	Clo1313_1024	1
ctx00340	Histidine metabolism	1/45	13/924	0.479734110281255	0.771746177408975	0.724541219189081	Clo1313_0428	1
ctx00300	Lysine biosynthesis	1/45	15/924	0.529889898397589	0.777113628458489	0.72958036242191	Clo1313_1295	1
ctx00920	Sulfur metabolism	1/45	15/924	0.529889898397589	0.777113628458489	0.72958036242191	Clo1313_2537	1
ctx03060	Protein export	1/45	16/924	0.553162675704639	0.777113628458489	0.72958036242191	Clo1313_1259	1
ctx00230	Purine metabolism	2/45	39/924	0.577805074502002	0.777113628458489	0.72958036242191	Clo1313_1580/Clo1313_0426	2
ctx00020	Citrate cycle (TCA cycle)	1/45	20/924	0.635498605369564	0.777113628458489	0.72958036242191	Clo1313_0708	1
ctx01110	Biosynthesis of secondary metabolites	10/45	220/924	0.659645917381948	0.777113628458489	0.72958036242191	Clo1313_0428/Clo1313_2924/Clo1313_1295/Clo1313_2537/Clo1313_1875/Clo1313_0708/Clo1313_2093/Clo1313_0997/Clo1313_0426/Clo1313_0296	10
ctx02020	Two-component system	5/45	113/924	0.664027371425767	0.777113628458489	0.72958036242191	Clo1313_0937/Clo1313_1413/Clo1313_2919/Clo1313_1659/Clo1313_0056	5
ctx00250	Alanine, aspartate and glutamate metabolism	1/45	22/924	0.670903347159771	0.777113628458489	0.72958036242191	Clo1313_1268	1
ctx01120	Microbial metabolism in diverse environments	5/45	114/924	0.672098273261396	0.777113628458489	0.72958036242191	Clo1313_1875/Clo1313_0708/Clo1313_2093/Clo1313_0997/Clo1313_0296	5
ctx01210	2-Oxocarboxylic acid metabolism	1/45	24/924	0.702938258118758	0.788142895466486	0.739935008546061	Clo1313_0708	1
