ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
ctx00900	Terpenoid backbone biosynthesis	6/153	10/924	0.00221234188329555	0.0663702564988664	0.065205866033974	Clo1313_0034/Clo1313_0492/Clo1313_0497/Clo1313_1216/Clo1313_1673/Clo1313_1393	6
ctx03070	Bacterial secretion system	6/153	10/924	0.00221234188329555	0.0663702564988664	0.065205866033974	Clo1313_2089/Clo1313_1452/Clo1313_1315/Clo1313_1314/Clo1313_0863/Clo1313_1259	6
ctx03010	Ribosome	19/153	67/924	0.00830120109415427	0.166024021883085	0.163111319744786	Clo1313_2074/Clo1313_2849/Clo1313_0315/Clo1313_0316/Clo1313_0446/Clo1313_0451/Clo1313_0452/Clo1313_0453/Clo1313_0454/Clo1313_0459/Clo1313_0475/Clo1313_0311/Clo1313_0309/Clo1313_1209/Clo1313_1174/Clo1313_2831/Clo1313_0905/Clo1313_1034/Clo1313_1033	19
ctx03060	Protein export	6/153	16/924	0.035383869940909	0.530758049113635	0.521446504392343	Clo1313_2089/Clo1313_1452/Clo1313_1315/Clo1313_1314/Clo1313_0863/Clo1313_1259	6
ctx01230	Biosynthesis of amino acids	25/153	111/924	0.0513606491160155	0.564807942770844	0.554899031494163	Clo1313_1517/Clo1313_2556/Clo1313_0636/Clo1313_2055/Clo1313_2031/Clo1313_1938/Clo1313_1876/Clo1313_0295/Clo1313_0184/Clo1313_0101/Clo1313_0075/Clo1313_2933/Clo1313_2745/Clo1313_0422/Clo1313_0586/Clo1313_2439/Clo1313_1499/Clo1313_1491/Clo1313_1551/Clo1313_1357/Clo1313_1348/Clo1313_1345/Clo1313_2303/Clo1313_1255/Clo1313_0427	25
ctx00250	Alanine, aspartate and glutamate metabolism	7/153	22/924	0.0564807942770844	0.564807942770844	0.554899031494163	Clo1313_2055/Clo1313_2031/Clo1313_3018/Clo1313_2559/Clo1313_1357/Clo1313_2303/Clo1313_1099	7
ctx00260	Glycine, serine and threonine metabolism	6/153	19/924	0.0782023179706937	0.645437336088658	0.634113874052015	Clo1313_1517/Clo1313_1953/Clo1313_1938/Clo1313_2745/Clo1313_0586/Clo1313_1255	6
ctx00030	Pentose phosphate pathway	5/153	15/924	0.0860583114784877	0.645437336088658	0.634113874052015	Clo1313_1876/Clo1313_0295/Clo1313_0184/Clo1313_0075/Clo1313_1546	5
ctx00052	Galactose metabolism	4/153	12/924	0.121521971180038	0.810146474533584	0.795933378489135	Clo1313_1876/Clo1313_2627/Clo1313_0489/Clo1313_1831	4
ctx01110	Biosynthesis of secondary metabolites	42/153	220/924	0.146210493470842	0.868944779225034	0.853700133975472	Clo1313_1517/Clo1313_2556/Clo1313_0636/Clo1313_0720/Clo1313_2124/Clo1313_2055/Clo1313_1953/Clo1313_1938/Clo1313_1876/Clo1313_0295/Clo1313_0184/Clo1313_0101/Clo1313_0075/Clo1313_0034/Clo1313_0020/Clo1313_2933/Clo1313_2633/Clo1313_2745/Clo1313_0422/Clo1313_0489/Clo1313_0492/Clo1313_0497/Clo1313_0586/Clo1313_1216/Clo1313_2439/Clo1313_0717/Clo1313_1511/Clo1313_1508/Clo1313_1499/Clo1313_1491/Clo1313_1551/Clo1313_1348/Clo1313_1345/Clo1313_1013/Clo1313_1002/Clo1313_0974/Clo1313_1673/Clo1313_1255/Clo1313_1393/Clo1313_0427/Clo1313_0887/Clo1313_1831	42
ctx00220	Arginine biosynthesis	5/153	18/924	0.162928246563087	0.868944779225034	0.853700133975472	Clo1313_2556/Clo1313_2055/Clo1313_2031/Clo1313_1357/Clo1313_2303	5
ctx00630	Glyoxylate and dicarboxylate metabolism	4/153	14/924	0.189107679169	0.868944779225034	0.853700133975472	Clo1313_2031/Clo1313_1953/Clo1313_1357/Clo1313_2303	4
ctx00240	Pyrimidine metabolism	7/153	29/924	0.190110805769585	0.868944779225034	0.853700133975472	Clo1313_3022/Clo1313_2559/Clo1313_2743/Clo1313_0185/Clo1313_1512/Clo1313_1508/Clo1313_1030	7
ctx02024	Quorum sensing	9/153	40/924	0.202753781819175	0.868944779225034	0.853700133975472	Clo1313_2089/Clo1313_0511/Clo1313_1452/Clo1313_1345/Clo1313_0863/Clo1313_1259/Clo1313_0512/Clo1313_1422/Clo1313_1021	9
ctx00910	Nitrogen metabolism	3/153	10/924	0.220984042559472	0.88393617023789	0.868428518128453	Clo1313_2031/Clo1313_1357/Clo1313_2303	3
ctx00550	Peptidoglycan biosynthesis	6/153	26/924	0.250554458170733	0.89722343481873	0.881482672804367	Clo1313_2989/Clo1313_2978/Clo1313_1240/Clo1313_1239/Clo1313_2119/Clo1313_1089	6
ctx00051	Fructose and mannose metabolism	4/153	16/924	0.265742852500999	0.89722343481873	0.881482672804367	Clo1313_1876/Clo1313_0184/Clo1313_0076/Clo1313_2633	4
ctx03420	Nucleotide excision repair	3/153	11/924	0.269167030445619	0.89722343481873	0.881482672804367	Clo1313_0220/Clo1313_2027/Clo1313_1916	3
ctx00061	Fatty acid biosynthesis	3/153	12/924	0.318382050200813	0.963454720674738	0.946552006276935	Clo1313_0622/Clo1313_0720/Clo1313_1285	3
ctx00500	Starch and sucrose metabolism	9/153	45/924	0.321151573558246	0.963454720674738	0.946552006276935	Clo1313_0395/Clo1313_0489/Clo1313_0717/Clo1313_1477/Clo1313_1002/Clo1313_0974/Clo1313_1396/Clo1313_1603/Clo1313_1831	9
ctx00340	Histidine metabolism	3/153	13/924	0.367726583165889	0.974268718767391	0.957176285104805	Clo1313_0422/Clo1313_1499/Clo1313_0427	3
ctx00680	Methane metabolism	6/153	30/924	0.376676352025522	0.974268718767391	0.957176285104805	Clo1313_1517/Clo1313_1953/Clo1313_1876/Clo1313_0020/Clo1313_2745/Clo1313_0586	6
ctx00400	Phenylalanine, tyrosine and tryptophan biosynthesis	5/153	26/924	0.436070378554457	0.974268718767391	0.957176285104805	Clo1313_0636/Clo1313_2933/Clo1313_1491/Clo1313_1348/Clo1313_1345	5
ctx00520	Amino sugar and nucleotide sugar metabolism	8/153	44/924	0.447857071734396	0.974268718767391	0.957176285104805	Clo1313_0133/Clo1313_2989/Clo1313_2633/Clo1313_0489/Clo1313_0717/Clo1313_2119/Clo1313_1099/Clo1313_1831	8
ctx00300	Lysine biosynthesis	3/153	15/924	0.463905993010367	0.974268718767391	0.957176285104805	Clo1313_1938/Clo1313_1240/Clo1313_1255	3
ctx00190	Oxidative phosphorylation	4/153	21/924	0.468541404060228	0.974268718767391	0.957176285104805	Clo1313_0192/Clo1313_0191/Clo1313_2934/Clo1313_1793	4
ctx01200	Carbon metabolism	11/153	63/924	0.47682631309641	0.974268718767391	0.957176285104805	Clo1313_1517/Clo1313_1953/Clo1313_1876/Clo1313_0295/Clo1313_0184/Clo1313_0075/Clo1313_0020/Clo1313_2745/Clo1313_0489/Clo1313_0586/Clo1313_1831	11
ctx00770	Pantothenate and CoA biosynthesis	3/153	16/924	0.509635948512529	0.974268718767391	0.957176285104805	Clo1313_2096/Clo1313_0101/Clo1313_0982	3
ctx00330	Arginine and proline metabolism	2/153	10/924	0.512634710956412	0.974268718767391	0.957176285104805	Clo1313_2439/Clo1313_1551	2
ctx03018	RNA degradation	2/153	10/924	0.512634710956412	0.974268718767391	0.957176285104805	Clo1313_0955/Clo1313_2086	2
ctx03410	Base excision repair	2/153	10/924	0.512634710956412	0.974268718767391	0.957176285104805	Clo1313_1370/Clo1313_1762	2
ctx01120	Microbial metabolism in diverse environments	19/153	114/924	0.531351334924962	0.974268718767391	0.957176285104805	Clo1313_1517/Clo1313_2136/Clo1313_2031/Clo1313_1953/Clo1313_1938/Clo1313_1876/Clo1313_0295/Clo1313_0184/Clo1313_0075/Clo1313_0020/Clo1313_2745/Clo1313_0489/Clo1313_0586/Clo1313_1524/Clo1313_1357/Clo1313_2303/Clo1313_1712/Clo1313_1255/Clo1313_1831	19
ctx01100	Metabolic pathways	82/153	496/924	0.545061966100022	0.974268718767391	0.957176285104805	Clo1313_1517/Clo1313_2556/Clo1313_0622/Clo1313_0636/Clo1313_0658/Clo1313_0701/Clo1313_0720/Clo1313_2136/Clo1313_2124/Clo1313_2055/Clo1313_2031/Clo1313_1953/Clo1313_1938/Clo1313_1876/Clo1313_1848/Clo1313_0295/Clo1313_0192/Clo1313_0191/Clo1313_0184/Clo1313_0133/Clo1313_0101/Clo1313_0076/Clo1313_0075/Clo1313_0034/Clo1313_0020/Clo1313_3022/Clo1313_3018/Clo1313_2989/Clo1313_2933/Clo1313_2559/Clo1313_2627/Clo1313_2633/Clo1313_2743/Clo1313_2745/Clo1313_0395/Clo1313_0422/Clo1313_0489/Clo1313_0492/Clo1313_0497/Clo1313_0586/Clo1313_0185/Clo1313_1240/Clo1313_1216/Clo1313_2439/Clo1313_2418/Clo1313_0717/Clo1313_1523/Clo1313_1512/Clo1313_1511/Clo1313_1508/Clo1313_1499/Clo1313_1491/Clo1313_1477/Clo1313_1551/Clo1313_1546/Clo1313_0908/Clo1313_1357/Clo1313_1348/Clo1313_1345/Clo1313_2303/Clo1313_1013/Clo1313_1002/Clo1313_0982/Clo1313_0974/Clo1313_0960/Clo1313_2119/Clo1313_1712/Clo1313_2934/Clo1313_1285/Clo1313_1255/Clo1313_1396/Clo1313_1393/Clo1313_0427/Clo1313_1030/Clo1313_1793/Clo1313_1099/Clo1313_1089/Clo1313_1082/Clo1313_0887/Clo1313_1628/Clo1313_1603/Clo1313_1831	82
ctx01212	Fatty acid metabolism	2/153	11/924	0.566738639958811	0.974268718767391	0.957176285104805	Clo1313_0720/Clo1313_1285	2
ctx00670	One carbon pool by folate	2/153	12/924	0.616409957910411	0.974268718767391	0.957176285104805	Clo1313_2897/Clo1313_1030	2
ctx00760	Nicotinate and nicotinamide metabolism	2/153	12/924	0.616409957910411	0.974268718767391	0.957176285104805	Clo1313_3018/Clo1313_1082	2
ctx00780	Biotin metabolism	2/153	12/924	0.616409957910411	0.974268718767391	0.957176285104805	Clo1313_0720/Clo1313_1285	2
ctx02020	Two-component system	18/153	113/924	0.620291406881871	0.974268718767391	0.957176285104805	Clo1313_2031/Clo1313_2994/Clo1313_2912/Clo1313_0395/Clo1313_0580/Clo1313_1110/Clo1313_1477/Clo1313_1357/Clo1313_2303/Clo1313_0972/Clo1313_1731/Clo1313_0855/Clo1313_2958/Clo1313_1412/Clo1313_1396/Clo1313_1422/Clo1313_2151/Clo1313_1603	18
ctx00650	Butanoate metabolism	3/153	19/924	0.633274667198804	0.974268718767391	0.957176285104805	Clo1313_0020/Clo1313_1524/Clo1313_1712	3
ctx01501	beta-Lactam resistance	2/153	13/924	0.661625116954869	0.975907665480054	0.958786478366369	Clo1313_0511/Clo1313_0512	2
ctx00010	Glycolysis / Gluconeogenesis	5/153	34/924	0.689093535722559	0.975907665480054	0.958786478366369	Clo1313_1876/Clo1313_0020/Clo1313_2745/Clo1313_0489/Clo1313_1831	5
ctx00730	Thiamine metabolism	2/153	14/924	0.702489164828932	0.975907665480054	0.958786478366369	Clo1313_1393/Clo1313_1628	2
ctx03030	DNA replication	2/153	14/924	0.702489164828932	0.975907665480054	0.958786478366369	Clo1313_0994/Clo1313_1323	2
ctx00640	Propanoate metabolism	2/153	16/924	0.77198831385322	0.975907665480054	0.958786478366369	Clo1313_2136/Clo1313_0020	2
ctx00620	Pyruvate metabolism	4/153	31/924	0.783216480179155	0.975907665480054	0.958786478366369	Clo1313_0020/Clo1313_2418/Clo1313_1523/Clo1313_1712	4
ctx01210	2-Oxocarboxylic acid metabolism	3/153	24/924	0.787851470743107	0.975907665480054	0.958786478366369	Clo1313_2556/Clo1313_0101/Clo1313_1255	3
ctx00860	Porphyrin and chlorophyll metabolism	2/153	18/924	0.826978610655171	0.975907665480054	0.958786478366369	Clo1313_0701/Clo1313_0960	2
ctx02010	ABC transporters	7/153	55/924	0.83516032023939	0.975907665480054	0.958786478366369	Clo1313_0079/Clo1313_0511/Clo1313_2474/Clo1313_2322/Clo1313_1690/Clo1313_2552/Clo1313_0512	7
ctx00561	Glycerolipid metabolism	1/153	10/924	0.837970178773467	0.975907665480054	0.958786478366369	Clo1313_1511	1
ctx00633	Nitrotoluene degradation	1/153	10/924	0.837970178773467	0.975907665480054	0.958786478366369	Clo1313_0020	1
ctx00790	Folate biosynthesis	1/153	10/924	0.837970178773467	0.975907665480054	0.958786478366369	Clo1313_0658	1
ctx00290	Valine, leucine and isoleucine biosynthesis	1/153	11/924	0.865093332654933	0.975907665480054	0.958786478366369	Clo1313_0101	1
ctx03430	Mismatch repair	2/153	20/924	0.869808494978719	0.975907665480054	0.958786478366369	Clo1313_0994/Clo1313_2027	2
ctx00270	Cysteine and methionine metabolism	3/153	29/924	0.884522408541385	0.975907665480054	0.958786478366369	Clo1313_1938/Clo1313_0586/Clo1313_1255	3
ctx03440	Homologous recombination	2/153	22/924	0.902746168895024	0.975907665480054	0.958786478366369	Clo1313_2053/Clo1313_0994	2
ctx00230	Purine metabolism	4/153	39/924	0.91084715444805	0.975907665480054	0.958786478366369	Clo1313_1508/Clo1313_1546/Clo1313_0908/Clo1313_1013	4
ctx02030	Bacterial chemotaxis	5/153	50/924	0.938388370566861	0.987777232175643	0.970447807049755	Clo1313_0580/Clo1313_1731/Clo1313_2958/Clo1313_1412/Clo1313_2151	5
ctx00020	Citrate cycle (TCA cycle)	1/153	20/924	0.974316890929695	0.992118782054952	0.974713189387321	Clo1313_0020	1
ctx02040	Flagellar assembly	2/153	31/924	0.975583469020702	0.992118782054952	0.974713189387321	Clo1313_2891/Clo1313_1749	2
ctx00970	Aminoacyl-tRNA biosynthesis	3/153	86/924	0.999985032815816	0.999985032815816	0.982441435748872	Clo1313_2897/Clo1313_2017/Clo1313_0749	3
