GO.ID	Term	Annotated	Significant	Expected	Rank in elimKS	classicKS	elimKS	weight01KS
GO:0055114	oxidation-reduction process	176	60	46.89	1	0.0018	0.0018	0.0016
GO:0009404	toxin metabolic process	6	5	1.6	96	0.0021	0.1496	0.1496
GO:0019748	secondary metabolic process	6	5	1.6	97	0.0021	0.1496	1.0000
GO:0001539	cilium or flagellum-dependent cell motil...	25	14	6.66	195	0.0021	0.3636	0.3636
GO:0048870	cell motility	26	14	6.93	201	0.0040	0.3772	0.4874
GO:0097588	archaeal or bacterial-type flagellum-dep...	22	12	5.86	2	0.0051	0.0051	0.1094
GO:0046394	carboxylic acid biosynthetic process	124	45	33.03	52	0.0054	0.0928	1.0000
GO:0015939	pantothenate metabolic process	5	3	1.33	3	0.0059	0.0059	0.0059
GO:0009403	toxin biosynthetic process	5	4	1.33	4	0.0060	0.0060	0.0060
GO:0044550	secondary metabolite biosynthetic proces...	5	4	1.33	706	0.0060	1.0000	1.0000
GO:0051674	localization of cell	27	14	7.19	158	0.0070	0.2701	0.5313
GO:0016053	organic acid biosynthetic process	125	45	33.3	67	0.0070	0.1122	0.9821
GO:0006790	sulfur compound metabolic process	51	21	13.59	5	0.0077	0.0077	0.0450
GO:0072330	monocarboxylic acid biosynthetic process	34	15	9.06	6	0.0078	0.0078	0.4567
GO:0019752	carboxylic acid metabolic process	192	68	51.15	57	0.0093	0.1002	1.0000
GO:0016054	organic acid catabolic process	6	4	1.6	7	0.0107	0.0107	1.0000
GO:0046395	carboxylic acid catabolic process	6	4	1.6	8	0.0107	0.0107	0.0107
GO:0006586	indolalkylamine metabolic process	7	5	1.86	9	0.0110	0.0110	1.0000
GO:0042430	indole-containing compound metabolic pro...	7	5	1.86	10	0.0110	0.0110	1.0000
GO:0006576	cellular biogenic amine metabolic proces...	11	6	2.93	11	0.0113	0.0113	0.2923
GO:0009308	amine metabolic process	11	6	2.93	12	0.0113	0.0113	1.0000
GO:0044106	cellular amine metabolic process	11	6	2.93	13	0.0113	0.0113	1.0000
GO:0043436	oxoacid metabolic process	193	68	51.42	68	0.0114	0.1165	0.9569
GO:0032787	monocarboxylic acid metabolic process	60	25	15.98	222	0.0115	0.4177	0.4522
GO:0006082	organic acid metabolic process	196	69	52.21	80	0.0128	0.1267	0.3728
GO:0071973	bacterial-type flagellum-dependent cell ...	20	10	5.33	14	0.0214	0.0214	0.0214
GO:0006928	movement of cell or subcellular componen...	32	15	8.52	573	0.0239	0.9275	0.9635
GO:0006568	tryptophan metabolic process	6	4	1.6	15	0.0289	0.0289	0.0289
GO:0046939	nucleotide phosphorylation	18	8	4.8	16	0.0291	0.0291	0.3602
GO:0006563	L-serine metabolic process	6	3	1.6	17	0.0294	0.0294	0.0294
GO:0006084	acetyl-CoA metabolic process	7	4	1.86	18	0.0298	0.0298	1.0000
GO:0006085	acetyl-CoA biosynthetic process	7	4	1.86	19	0.0298	0.0298	0.0314
GO:0006637	acyl-CoA metabolic process	7	4	1.86	20	0.0298	0.0298	1.0000
GO:0035384	thioester biosynthetic process	7	4	1.86	21	0.0298	0.0298	1.0000
GO:0071616	acyl-CoA biosynthetic process	7	4	1.86	22	0.0298	0.0298	1.0000
GO:0006165	nucleoside diphosphate phosphorylation	16	7	4.26	23	0.0320	0.0320	0.1380
GO:0009266	response to temperature stimulus	11	6	2.93	24	0.0334	0.0334	0.3290
GO:0044283	small molecule biosynthetic process	219	70	58.34	105	0.0345	0.1585	0.3103
