GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0043565	sequence-specific DNA binding	13	2	0.19	0.014
GO:0003678	DNA helicase activity	13	2	0.19	0.014
GO:0016757	transferase activity, transferring glyco...	38	3	0.54	0.015
GO:0003690	double-stranded DNA binding	14	2	0.2	0.016
GO:0016866	intramolecular transferase activity	16	2	0.23	0.020
GO:0008094	DNA-dependent ATPase activity	18	2	0.26	0.026
GO:0042623	ATPase activity, coupled	50	3	0.71	0.031
GO:0003677	DNA binding	140	5	2	0.040
GO:0004386	helicase activity	23	2	0.33	0.041
GO:0015405	P-P-bond-hydrolysis-driven transmembrane...	28	2	0.4	0.058
GO:0015399	primary active transmembrane transporter...	28	2	0.4	0.058
GO:0022804	active transmembrane transporter activit...	30	2	0.43	0.066
GO:0005525	GTP binding	33	2	0.47	0.078
GO:0017111	nucleoside-triphosphatase activity	124	4	1.77	0.091
GO:0000287	magnesium ion binding	39	2	0.56	0.104
GO:0016817	hydrolase activity, acting on acid anhyd...	131	4	1.87	0.107
GO:0016818	hydrolase activity, acting on acid anhyd...	131	4	1.87	0.107
GO:0016462	pyrophosphatase activity	131	4	1.87	0.107
GO:0019001	guanyl nucleotide binding	42	2	0.6	0.118
GO:0032561	guanyl ribonucleotide binding	42	2	0.6	0.118
GO:0016887	ATPase activity	87	3	1.24	0.122
GO:0022857	transmembrane transporter activity	43	2	0.61	0.123
GO:0030145	manganese ion binding	10	1	0.14	0.135
GO:0016853	isomerase activity	46	2	0.66	0.138
GO:0003676	nucleic acid binding	259	6	3.7	0.142
GO:0140097	catalytic activity, acting on DNA	47	2	0.67	0.143
GO:0005215	transporter activity	49	2	0.7	0.153
GO:0019829	cation-transporting ATPase activity	12	1	0.17	0.159
GO:0015078	proton transmembrane transporter activit...	13	1	0.19	0.172
GO:0042625	ATPase coupled ion transmembrane transpo...	13	1	0.19	0.172
GO:0032550	purine ribonucleoside binding	53	2	0.76	0.173
GO:0001883	purine nucleoside binding	53	2	0.76	0.173
GO:0022853	active ion transmembrane transporter act...	14	1	0.2	0.184
GO:0001882	nucleoside binding	55	2	0.79	0.184
GO:0032549	ribonucleoside binding	55	2	0.79	0.184
GO:0016410	N-acyltransferase activity	15	1	0.21	0.195
GO:0008080	N-acetyltransferase activity	15	1	0.21	0.195
GO:0016763	transferase activity, transferring pento...	15	1	0.21	0.195
GO:0015077	monovalent inorganic cation transmembran...	15	1	0.21	0.195
GO:0042802	identical protein binding	16	1	0.23	0.207
GO:0046872	metal ion binding	230	5	3.29	0.217
GO:0008135	translation factor activity, RNA binding	18	1	0.26	0.230
GO:0016407	acetyltransferase activity	18	1	0.26	0.230
GO:0043169	cation binding	235	5	3.36	0.231
GO:0016740	transferase activity	303	6	4.33	0.247
GO:0003700	DNA-binding transcription factor activit...	20	1	0.29	0.252
GO:0046914	transition metal ion binding	71	2	1.02	0.270
GO:0003924	GTPase activity	22	1	0.31	0.274
GO:0022890	inorganic cation transmembrane transport...	23	1	0.33	0.284
GO:0008324	cation transmembrane transporter activit...	24	1	0.34	0.295
GO:0005515	protein binding	78	2	1.12	0.308
GO:0035639	purine ribonucleoside triphosphate bindi...	262	5	3.75	0.313
GO:0043492	ATPase activity, coupled to movement of ...	26	1	0.37	0.315
