GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0016765	transferase activity, transferring alkyl...	22	5	2.36	0.077
GO:0000287	magnesium ion binding	39	7	4.18	0.115
GO:0030170	pyridoxal phosphate binding	26	5	2.79	0.137
GO:0070279	vitamin B6 binding	26	5	2.79	0.137
GO:0015318	inorganic molecular entity transmembrane...	29	5	3.11	0.192
GO:0032550	purine ribonucleoside binding	53	8	5.68	0.199
GO:0001883	purine nucleoside binding	53	8	5.68	0.199
GO:0004673	protein histidine kinase activity	15	3	1.61	0.212
GO:0015075	ion transmembrane transporter activity	30	5	3.22	0.212
GO:0008144	drug binding	280	34	30.03	0.218
GO:0032549	ribonucleoside binding	55	8	5.9	0.229
GO:0001882	nucleoside binding	55	8	5.9	0.229
GO:0016775	phosphotransferase activity, nitrogenous...	16	3	1.72	0.241
GO:0043167	ion binding	487	56	52.23	0.261
GO:0005215	transporter activity	49	7	5.25	0.266
GO:0051539	4 iron, 4 sulfur cluster binding	17	3	1.82	0.272
GO:0019842	vitamin binding	33	5	3.54	0.275
GO:0048037	cofactor binding	137	17	14.69	0.290
GO:0004888	transmembrane signaling receptor activit...	10	2	1.07	0.292
GO:0038023	signaling receptor activity	10	2	1.07	0.292
GO:0046873	metal ion transmembrane transporter acti...	10	2	1.07	0.292
GO:0008135	translation factor activity, RNA binding	18	3	1.93	0.303
GO:0016829	lyase activity	60	8	6.43	0.310
GO:0022857	transmembrane transporter activity	43	6	4.61	0.310
GO:0043168	anion binding	333	38	35.71	0.349
GO:0051540	metal cluster binding	45	6	4.83	0.350
GO:0051536	iron-sulfur cluster binding	45	6	4.83	0.350
GO:0036094	small molecule binding	371	42	39.79	0.360
GO:0051287	NAD binding	20	3	2.14	0.365
GO:0050662	coenzyme binding	81	10	8.69	0.367
GO:0140097	catalytic activity, acting on DNA	47	6	5.04	0.391
GO:0043565	sequence-specific DNA binding	13	2	1.39	0.414
GO:0003924	GTPase activity	22	3	2.36	0.426
GO:0032555	purine ribonucleotide binding	268	30	28.74	0.426
GO:0017076	purine nucleotide binding	270	30	28.95	0.445
GO:0016758	transferase activity, transferring hexos...	14	2	1.5	0.453
GO:0000155	phosphorelay sensor kinase activity	14	2	1.5	0.453
GO:0016773	phosphotransferase activity, alcohol gro...	41	5	4.4	0.454
GO:0005524	ATP binding	234	26	25.09	0.454
GO:0022890	inorganic cation transmembrane transport...	23	3	2.47	0.455
GO:0035639	purine ribonucleoside triphosphate bindi...	262	29	28.1	0.457
GO:0032559	adenyl ribonucleotide binding	235	26	25.2	0.465
GO:0032561	guanyl ribonucleotide binding	42	5	4.5	0.476
GO:0019001	guanyl nucleotide binding	42	5	4.5	0.476
