GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0001539	cilium or flagellum-dependent cell motil...	15	3	0.43	0.0075
GO:0015031	protein transport	16	3	0.46	0.0091
GO:0071973	bacterial-type flagellum-dependent cell ...	11	2	0.31	0.0368
GO:0051641	cellular localization	11	2	0.31	0.0368
GO:0034637	cellular carbohydrate biosynthetic proce...	12	2	0.34	0.0433
GO:0033692	cellular polysaccharide biosynthetic pro...	12	2	0.34	0.0433
GO:0055085	transmembrane transport	71	5	2.02	0.0456
GO:0008610	lipid biosynthetic process	30	3	0.85	0.0503
GO:0097588	archaeal or bacterial-type flagellum-dep...	13	2	0.37	0.0503
GO:0015980	energy derivation by oxidation of organi...	14	2	0.4	0.0577
GO:0000271	polysaccharide biosynthetic process	15	2	0.43	0.0654
GO:0044087	regulation of cellular component biogene...	15	2	0.43	0.0654
GO:0006810	transport	110	8	3.13	0.0880
GO:0051179	localization	125	9	3.56	0.0890
GO:0044255	cellular lipid metabolic process	38	3	1.08	0.0898
GO:0022607	cellular component assembly	62	4	1.77	0.0942
GO:0051234	establishment of localization	112	8	3.19	0.0946
GO:0016051	carbohydrate biosynthetic process	19	2	0.54	0.0994
GO:0006629	lipid metabolic process	40	3	1.14	0.1013
GO:0006935	chemotaxis	20	2	0.57	0.1085
GO:0006811	ion transport	42	3	1.2	0.1133
GO:0042330	taxis	21	2	0.6	0.1179
GO:1901068	guanosine-containing compound metabolic ...	21	2	0.6	0.1179
GO:0034220	ion transmembrane transport	24	2	0.68	0.1471
GO:0034660	ncRNA metabolic process	73	4	2.08	0.1482
GO:0044264	cellular polysaccharide metabolic proces...	25	2	0.71	0.1571
GO:0090304	nucleic acid metabolic process	230	9	6.55	0.1874
GO:0008033	tRNA processing	28	2	0.8	0.1881
GO:0044262	cellular carbohydrate metabolic process	29	2	0.83	0.1986
GO:0006399	tRNA metabolic process	55	3	1.57	0.2030
GO:0046128	purine ribonucleoside metabolic process	57	3	1.62	0.2182
GO:0016043	cellular component organization	115	5	3.28	0.2224
GO:0042278	purine nucleoside metabolic process	58	3	1.65	0.2258
GO:0008299	isoprenoid biosynthetic process	10	1	0.28	0.2520
GO:0006720	isoprenoid metabolic process	10	1	0.28	0.2520
GO:0007049	cell cycle	34	2	0.97	0.2521
GO:0051128	regulation of cellular component organiz...	35	2	1	0.2629
GO:0046129	purine ribonucleoside biosynthetic proce...	11	1	0.31	0.2735
GO:0044265	cellular macromolecule catabolic process	11	1	0.31	0.2735
GO:0042451	purine nucleoside biosynthetic process	11	1	0.31	0.2735
GO:0042592	homeostatic process	11	1	0.31	0.2735
GO:2000142	regulation of DNA-templated transcriptio...	11	1	0.31	0.2735
GO:0043254	regulation of protein complex assembly	11	1	0.31	0.2735
GO:0009168	purine ribonucleoside monophosphate bios...	37	2	1.05	0.2845
GO:0009127	purine nucleoside monophosphate biosynth...	37	2	1.05	0.2845
GO:0006996	organelle organization	37	2	1.05	0.2845
GO:0016070	RNA metabolic process	159	6	4.53	0.2928
GO:0008654	phospholipid biosynthetic process	12	1	0.34	0.2944
GO:0006352	DNA-templated transcription, initiation	12	1	0.34	0.2944
GO:0042398	cellular modified amino acid biosyntheti...	12	1	0.34	0.2944
GO:0000160	phosphorelay signal transduction system	38	2	1.08	0.2953
GO:0071705	nitrogen compound transport	30	4	0.85	0.3096
GO:0098660	inorganic ion transmembrane transport	13	1	0.37	0.3148
GO:0098662	inorganic cation transmembrane transport	13	1	0.37	0.3148
GO:0070925	organelle assembly	13	1	0.37	0.3148
GO:0009069	serine family amino acid metabolic proce...	13	1	0.37	0.3148
GO:0006541	glutamine metabolic process	13	1	0.37	0.3148
GO:0006644	phospholipid metabolic process	13	1	0.37	0.3148
GO:0006139	nucleobase-containing compound metabolic...	364	12	10.37	0.3236
GO:0051301	cell division	41	2	1.17	0.3277
GO:0035556	intracellular signal transduction	41	2	1.17	0.3277
GO:0007165	signal transduction	71	3	2.02	0.3293
GO:0023052	signaling	71	3	2.02	0.3293
GO:1901069	guanosine-containing compound catabolic ...	14	1	0.4	0.3345
GO:0090305	nucleic acid phosphodiester bond hydroly...	42	2	1.2	0.3384
GO:0009119	ribonucleoside metabolic process	73	3	2.08	0.3456
GO:0044085	cellular component biogenesis	105	4	2.99	0.3501
GO:0000910	cytokinesis	15	1	0.43	0.3537
GO:0046039	GTP metabolic process	15	1	0.43	0.3537
GO:0072521	purine-containing compound metabolic pro...	106	4	3.02	0.3569
GO:0009605	response to external stimulus	44	2	1.25	0.3597
GO:0050896	response to stimulus	172	6	4.9	0.3635
GO:0006091	generation of precursor metabolites and ...	45	2	1.28	0.3702
GO:0034470	ncRNA processing	45	2	1.28	0.3702
GO:0022402	cell cycle process	16	1	0.46	0.3724
GO:0032774	RNA biosynthetic process	77	3	2.19	0.3780
GO:0009152	purine ribonucleotide biosynthetic proce...	46	2	1.31	0.3808
GO:0030001	metal ion transport	17	1	0.48	0.3906
GO:0071702	organic substance transport	35	4	1	0.3960
GO:0071840	cellular component organization or bioge...	145	5	4.13	0.3983
GO:0009156	ribonucleoside monophosphate biosyntheti...	48	2	1.37	0.4016
GO:0006073	cellular glucan metabolic process	18	1	0.51	0.4083
GO:0040011	locomotion	35	4	1	0.4116
GO:0006164	purine nucleotide biosynthetic process	49	2	1.4	0.4119
GO:0009116	nucleoside metabolic process	82	3	2.34	0.4181
GO:1901657	glycosyl compound metabolic process	82	3	2.34	0.4181
GO:0072522	purine-containing compound biosynthetic ...	50	2	1.42	0.4221
GO:0005976	polysaccharide metabolic process	50	2	1.42	0.4221
GO:0044042	glucan metabolic process	19	1	0.54	0.4254
GO:0098655	cation transmembrane transport	19	1	0.54	0.4254
GO:0000902	cell morphogenesis	19	1	0.54	0.4254
GO:0032989	cellular component morphogenesis	19	1	0.54	0.4254
GO:0007154	cell communication	86	3	2.45	0.4498
GO:0009124	nucleoside monophosphate biosynthetic pr...	53	2	1.51	0.4523
GO:0006754	ATP biosynthetic process	21	1	0.6	0.4583
GO:0048869	cellular developmental process	22	1	0.63	0.4741
GO:0009145	purine nucleoside triphosphate biosynthe...	22	1	0.63	0.4741
GO:0009653	anatomical structure morphogenesis	22	1	0.63	0.4741
GO:0006575	cellular modified amino acid metabolic p...	22	1	0.63	0.4741
GO:0006400	tRNA modification	22	1	0.63	0.4741
