Structure	Number
3-hydroxyanthranilate-3,4-dioxygenase	2
ubiquitin carboxyl-terminal hydrolase 12	5
zinc finger matrin-type protein 2	1
atp-dependent clp protease atp-binding subunit clpc	7
fyve-finger-containing rab5 effector protein rabenosyn-5	3
golgi to er traffic protein 1	3
3-hydroxyanthranilate 3,4-dioxygenase	2
excinuclease abc subunit	1
negative regulator of genetic competence clpc/mecb	6
class iii stress response-related atpase, aaa+ superfamily	1
ubiquitin carboxyl-terminal hydrolase 46	3
hypothetical protein af_0060	2
anaerobic ribonucleotide-triphosphate reductase large chain	2
dhd127_a	1
gp7-myh7-(1526-1571) chimera protein	8
uvrb	1
arginine kinase	2
