Structure	Number
utp7	2
odz3 protein	2
streptogramin b lactonase	1
yenc2	1
uncharacterized protein atu1656/agr_c_3050	1
dynein assembly factor with wdr repeat domains 1	1
protein tolb	14
guanine nucleotide-binding protein g(i)/g(s)/g(t) subunit beta-1	4
coatomer subunit beta'	1
wd repeat-containing protein 48	2
fizzy-related protein homolog	1
the anaphase-promoting complex chain r	2
pre-mrna 3' end processing protein wdr33	4
u4/u6 small nuclear ribonucleoprotein prp4	5
protein (tolb protein)	1
pizza6-syw	1
pleiotropic regulator 1	3
tolb protein	2
teneurin-2	1
polyadenylation factor subunit 2,polyadenylation factor subunit 2	1
