GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0000096	sulfur amino acid metabolic process	18	4	0.83	0.0077
GO:0044272	sulfur compound biosynthetic process	31	5	1.44	0.0118
GO:0006790	sulfur compound metabolic process	44	8	2.04	0.0229
GO:0009069	serine family amino acid metabolic proce...	14	3	0.65	0.0237
GO:0000097	sulfur amino acid biosynthetic process	15	3	0.69	0.0287
GO:1901607	alpha-amino acid biosynthetic process	71	7	3.29	0.0402
GO:0044036	cell wall macromolecule metabolic proces...	31	4	1.44	0.0508
GO:0009225	nucleotide-sugar metabolic process	10	2	0.46	0.0745
GO:0046394	carboxylic acid biosynthetic process	115	9	5.32	0.0747
GO:0016053	organic acid biosynthetic process	116	9	5.37	0.0781
GO:0008652	cellular amino acid biosynthetic process	84	7	3.89	0.0860
GO:0071554	cell wall organization or biogenesis	37	4	1.71	0.0870
GO:0015672	monovalent inorganic cation transport	12	2	0.56	0.1031
GO:1901605	alpha-amino acid metabolic process	88	7	4.07	0.1045
GO:0034220	ion transmembrane transport	25	3	1.16	0.1049
GO:0016052	carbohydrate catabolic process	55	5	2.55	0.1049
GO:0006811	ion transport	40	4	1.85	0.1088
GO:0009066	aspartate family amino acid metabolic pr...	26	3	1.2	0.1149
GO:0006555	methionine metabolic process	13	2	0.6	0.1184
GO:0098660	inorganic ion transmembrane transport	14	2	0.65	0.1341
GO:0005996	monosaccharide metabolic process	14	2	0.65	0.1341
GO:0006812	cation transport	30	3	1.39	0.1580
GO:0045229	external encapsulating structure organiz...	16	2	0.74	0.1670
GO:0044087	regulation of cellular component biogene...	16	2	0.74	0.1670
GO:0071555	cell wall organization	16	2	0.74	0.1670
GO:0005975	carbohydrate metabolic process	100	7	4.63	0.1720
GO:0009252	peptidoglycan biosynthetic process	17	2	0.79	0.1839
GO:0006023	aminoglycan biosynthetic process	17	2	0.79	0.1839
GO:0006024	glycosaminoglycan biosynthetic process	17	2	0.79	0.1839
GO:0044283	small molecule biosynthetic process	200	12	9.26	0.1986
GO:0000272	polysaccharide catabolic process	35	3	1.62	0.2176
GO:0098655	cation transmembrane transport	19	2	0.88	0.2184
GO:0030203	glycosaminoglycan metabolic process	19	2	0.88	0.2184
GO:0000270	peptidoglycan metabolic process	19	2	0.88	0.2184
GO:0051128	regulation of cellular component organiz...	36	3	1.67	0.2301
GO:0006810	transport	109	7	5.05	0.2329
GO:0070589	cellular component macromolecule biosynt...	20	2	0.93	0.2359
GO:0044038	cell wall macromolecule biosynthetic pro...	20	2	0.93	0.2359
GO:0006022	aminoglycan metabolic process	20	2	0.93	0.2359
GO:0051234	establishment of localization	111	7	5.14	0.2474
GO:0009273	peptidoglycan-based cell wall biogenesis	21	2	0.97	0.2534
GO:0009067	aspartate family amino acid biosynthetic...	21	2	0.97	0.2534
GO:0042546	cell wall biogenesis	22	2	1.02	0.2710
GO:0006754	ATP biosynthetic process	23	2	1.06	0.2886
GO:0017144	drug metabolic process	98	6	4.54	0.2970
GO:0009145	purine nucleoside triphosphate biosynthe...	24	2	1.11	0.3062
GO:0009206	purine ribonucleoside triphosphate biosy...	24	2	1.11	0.3062
GO:0006355	regulation of transcription, DNA-templat...	62	4	2.87	0.3217
GO:2001141	regulation of RNA biosynthetic process	63	4	2.92	0.3326
GO:1903506	regulation of nucleic acid-templated tra...	63	4	2.92	0.3326
GO:0009201	ribonucleoside triphosphate biosynthetic...	26	2	1.2	0.3411
GO:0072528	pyrimidine-containing compound biosynthe...	27	2	1.25	0.3584
GO:0044281	small molecule metabolic process	329	19	15.23	0.3598
GO:0051252	regulation of RNA metabolic process	66	4	3.06	0.3655
GO:0006720	isoprenoid metabolic process	10	1	0.46	0.3788
GO:0046049	UMP metabolic process	10	1	0.46	0.3788
GO:0009173	pyrimidine ribonucleoside monophosphate ...	10	1	0.46	0.3788
GO:0009112	nucleobase metabolic process	10	1	0.46	0.3788
GO:0008299	isoprenoid biosynthetic process	10	1	0.46	0.3788
