GO.ID	Term	Annotated	Significant	Expected	Rank in elimKS	classicKS	elimKS	weight01KS
GO:0048037	cofactor binding	155	59	40.36	1	0.00022	0.00022	0.05447
GO:0016491	oxidoreductase activity	167	59	43.48	10	0.00111	0.02930	0.00659
GO:0016616	oxidoreductase activity, acting on the C...	30	14	7.81	2	0.00589	0.00589	0.00589
GO:0016614	oxidoreductase activity, acting on CH-OH...	31	14	8.07	177	0.01019	0.67057	0.67057
GO:0046914	transition metal ion binding	86	30	22.39	3	0.01556	0.01556	0.61868
GO:0050662	coenzyme binding	89	35	23.17	4	0.01571	0.01571	0.71825
GO:0008270	zinc ion binding	52	20	13.54	5	0.02021	0.02021	0.02021
GO:0016835	carbon-oxygen lyase activity	26	7	6.77	6	0.02036	0.02036	0.11936
GO:0051536	iron-sulfur cluster binding	54	19	14.06	7	0.02357	0.02357	0.06260
GO:0051540	metal cluster binding	54	19	14.06	8	0.02357	0.02357	1.00000
GO:0003774	motor activity	6	4	1.56	9	0.02884	0.02884	0.02884
GO:0000049	tRNA binding	18	6	4.69	11	0.03544	0.03544	0.03544
GO:0019842	vitamin binding	40	15	10.41	12	0.04061	0.04061	0.41294
GO:0016829	lyase activity	71	20	18.49	13	0.04191	0.04191	0.43576
GO:0030248	cellulose binding	23	7	5.99	14	0.04289	0.04289	0.04289
GO:0016699	oxidoreductase activity, acting on hydro...	6	3	1.56	15	0.05246	0.05246	0.05246
GO:0042802	identical protein binding	18	4	4.69	16	0.05441	0.05441	0.05441
GO:0001871	pattern binding	25	7	6.51	17	0.05813	0.05813	1.00000
GO:0030247	polysaccharide binding	25	7	6.51	18	0.05813	0.05813	0.45432
GO:0046906	tetrapyrrole binding	9	4	2.34	19	0.06504	0.06504	0.33982
GO:0003954	NADH dehydrogenase activity	12	6	3.12	20	0.06934	0.06934	0.20113
GO:0030145	manganese ion binding	10	4	2.6	21	0.07424	0.07424	0.07424
GO:0019205	nucleobase-containing compound kinase ac...	5	2	1.3	22	0.07585	0.07585	0.07585
GO:0016879	ligase activity, forming carbon-nitrogen...	40	17	10.41	23	0.08580	0.08580	0.29035
GO:0030170	pyridoxal phosphate binding	30	12	7.81	24	0.08650	0.08650	0.08650
GO:0070279	vitamin B6 binding	30	12	7.81	25	0.08650	0.08650	1.00000
GO:0051287	NAD binding	21	8	5.47	26	0.08986	0.08986	0.08986
GO:0046872	metal ion binding	272	82	70.82	27	0.09656	0.09656	0.43862
GO:0016836	hydro-lyase activity	19	4	4.95	28	0.11139	0.11139	0.11139
GO:0010181	FMN binding	14	6	3.65	29	0.12157	0.12157	0.12157
GO:0016151	nickel cation binding	6	4	1.56	30	0.12726	0.12726	0.12726
GO:0043169	cation binding	277	82	72.12	31	0.12953	0.12953	0.85371
GO:0003824	catalytic activity	1059	289	275.73	48	0.13307	0.18966	0.00076
GO:0016874	ligase activity	88	31	22.91	32	0.13413	0.13413	0.46434
GO:0008565	protein transporter activity	5	2	1.3	33	0.13428	0.13428	0.13428
GO:0051539	4 iron, 4 sulfur cluster binding	19	5	4.95	34	0.13900	0.13900	0.13900
GO:0016667	oxidoreductase activity, acting on a sul...	8	2	2.08	35	0.13925	0.13925	0.11418
GO:0004312	fatty acid synthase activity	6	3	1.56	36	0.14268	0.14268	0.14268
GO:0016747	transferase activity, transferring acyl ...	35	14	9.11	37	0.14541	0.14541	0.34858
GO:0016877	ligase activity, forming carbon-sulfur b...	6	3	1.56	38	0.14794	0.14794	0.14794
GO:0016746	transferase activity, transferring acyl ...	41	16	10.67	39	0.14967	0.14967	0.23862
GO:0016776	phosphotransferase activity, phosphate g...	7	2	1.82	40	0.15310	0.15310	0.15310
GO:0008137	NADH dehydrogenase (ubiquinone) activity	11	5	2.86	41	0.16187	0.16187	0.16187
GO:0016655	oxidoreductase activity, acting on NAD(P...	11	5	2.86	42	0.16187	0.16187	1.00000
GO:0050136	NADH dehydrogenase (quinone) activity	11	5	2.86	43	0.16187	0.16187	1.00000
GO:0020037	heme binding	6	3	1.56	44	0.16237	0.16237	0.16237
GO:0003700	DNA-binding transcription factor activit...	24	9	6.25	45	0.16656	0.16656	0.16656
GO:0005198	structural molecule activity	56	15	14.58	46	0.16734	0.16734	0.21640
GO:0016695	oxidoreductase activity, acting on hydro...	7	3	1.82	47	0.17544	0.17544	0.94082
GO:0016798	hydrolase activity, acting on glycosyl b...	62	19	16.14	49	0.20671	0.20671	0.63501
GO:0003735	structural constituent of ribosome	49	12	12.76	50	0.21098	0.21098	0.21098
GO:0016651	oxidoreductase activity, acting on NAD(P...	19	7	4.95	51	0.21272	0.21272	0.78935
GO:0008483	transaminase activity	20	8	5.21	52	0.21272	0.21272	0.21272
GO:0016769	transferase activity, transferring nitro...	20	8	5.21	53	0.21272	0.21272	1.00000
GO:0050661	NADP binding	16	7	4.17	54	0.21315	0.21315	0.21315
GO:0046915	transition metal ion transmembrane trans...	5	2	1.3	55	0.22384	0.22384	0.22384
GO:0003697	single-stranded DNA binding	6	2	1.56	56	0.23303	0.23303	0.23303
GO:0016627	oxidoreductase activity, acting on the C...	12	3	3.12	57	0.23305	0.23305	0.22733
GO:0019843	rRNA binding	41	9	10.67	58	0.23310	0.23310	0.23310
GO:0030246	carbohydrate binding	44	11	11.46	59	0.24310	0.24310	0.87927
GO:0046873	metal ion transmembrane transporter acti...	12	3	3.12	60	0.24325	0.24325	0.54723
GO:0002161	aminoacyl-tRNA editing activity	5	2	1.3	61	0.24464	0.24464	0.24464
GO:0016211	ammonia ligase activity	5	2	1.3	62	0.24598	0.24598	0.24598
GO:0008026	ATP-dependent helicase activity	10	2	2.6	63	0.25132	0.25132	0.49817
GO:0070035	purine NTP-dependent helicase activity	10	2	2.6	64	0.25132	0.25132	1.00000
GO:0004553	hydrolase activity, hydrolyzing O-glycos...	54	17	14.06	65	0.25545	0.25545	0.14854
GO:0043168	anion binding	384	100	99.98	66	0.25844	0.25844	0.00625
GO:0016854	racemase and epimerase activity	9	2	2.34	67	0.25860	0.25860	0.25860
GO:0016782	transferase activity, transferring sulfu...	8	3	2.08	68	0.26076	0.26076	0.26076
GO:0004721	phosphoprotein phosphatase activity	6	0	1.56	69	0.26130	0.26130	0.26130
GO:0036094	small molecule binding	427	110	111.18	70	0.26232	0.26232	1.00000
GO:0016779	nucleotidyltransferase activity	50	15	13.02	71	0.26296	0.26296	0.13052
GO:0043167	ion binding	575	155	149.71	72	0.27170	0.27170	1.00000
GO:0031177	phosphopantetheine binding	5	1	1.3	73	0.27665	0.27665	0.27665
GO:0004003	ATP-dependent DNA helicase activity	9	2	2.34	74	0.28880	0.28880	0.28880
GO:0016881	acid-amino acid ligase activity	10	5	2.6	75	0.29070	0.29070	0.29070
GO:0008194	UDP-glycosyltransferase activity	8	2	2.08	76	0.29562	0.29562	0.29562
GO:0016868	intramolecular transferase activity, pho...	7	3	1.82	77	0.29652	0.29652	0.29652
GO:0033218	amide binding	9	1	2.34	78	0.30204	0.30204	0.55610
GO:0016774	phosphotransferase activity, carboxyl gr...	5	3	1.3	79	0.30340	0.30340	0.30340
GO:0016887	ATPase activity	103	25	26.82	80	0.30353	0.30353	0.12830
GO:0008810	cellulase activity	5	1	1.3	81	0.31576	0.31576	0.31576
GO:0016880	acid-ammonia (or amide) ligase activity	6	2	1.56	82	0.32076	0.32076	0.49248
GO:0070566	adenylyltransferase activity	10	4	2.6	83	0.32560	0.32560	0.32560
GO:0003729	mRNA binding	6	2	1.56	84	0.33415	0.33415	0.33415
GO:0009055	electron transfer activity	21	8	5.47	85	0.34293	0.34293	0.34293
GO:0016791	phosphatase activity	14	0	3.65	86	0.34377	0.34377	0.83351
GO:0016831	carboxy-lyase activity	15	4	3.91	87	0.35812	0.35812	0.35812
GO:0016796	exonuclease activity, active with either...	9	1	2.34	88	0.36014	0.36014	0.18329
GO:0004527	exonuclease activity	16	1	4.17	89	0.38178	0.38178	0.88562
GO:0008408	3'-5' exonuclease activity	9	1	2.34	90	0.38587	0.38587	0.38587
GO:0005506	iron ion binding	17	6	4.43	91	0.38694	0.38694	0.38694
GO:0008094	DNA-dependent ATPase activity	20	3	5.21	92	0.38798	0.38798	0.59205
GO:0019003	GDP binding	5	2	1.3	93	0.38854	0.38854	0.38854
GO:0000287	magnesium ion binding	42	12	10.94	94	0.39922	0.39922	0.39922
GO:0042578	phosphoric ester hydrolase activity	21	0	5.47	95	0.39952	0.39952	0.30932
GO:0000156	phosphorelay response regulator activity	7	0	1.82	96	0.39973	0.39973	0.39973
GO:0140110	transcription regulator activity	32	10	8.33	97	0.41051	0.41051	0.85849
GO:0003678	DNA helicase activity	16	2	4.17	98	0.42023	0.42023	0.68264
GO:0003684	damaged DNA binding	6	1	1.56	99	0.42176	0.42176	0.42176
