Structure	Number
general transcription factor iie subunit 1	5
50s ribosomal protein l37ae	4
cadmium and zinc efflux pump fief	1
consensus zinc finger	3
wilms tumor protein	5
stip1 homology and u-box containing protein 1	1
rabphilin-3a	1
wilms tumor 1	3
diacylglycerol kinase	8
hypothetical upf0222 protein mgc4549	1
cation efflux family protein	2
copper-exporting p-type atpase a	1
trna(ile2) 2-agmatinylcytidine synthetase tias	1
transcription factor tfiie subunit	1
putative uncharacterized protein	1
transcriptional repressor ctcf	7
transcription initiation factor iie subunit alpha	4
tim15	1
