GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0016810	hydrolase activity, acting on carbon-nit...	30	2	0.41	0.060
GO:0005515	protein binding	83	3	1.13	0.097
GO:0051540	metal cluster binding	47	2	0.64	0.131
GO:0051536	iron-sulfur cluster binding	47	2	0.64	0.131
GO:0008649	rRNA methyltransferase activity	11	1	0.15	0.140
GO:0052689	carboxylic ester hydrolase activity	11	1	0.15	0.140
GO:0005509	calcium ion binding	12	1	0.16	0.152
GO:0043565	sequence-specific DNA binding	12	1	0.16	0.152
GO:0005488	binding	780	13	10.58	0.153
GO:0140096	catalytic activity, acting on a protein	103	3	1.4	0.157
GO:0010181	FMN binding	13	1	0.18	0.163
GO:0016811	hydrolase activity, acting on carbon-nit...	13	1	0.18	0.163
GO:0140102	catalytic activity, acting on a rRNA	14	1	0.19	0.175
GO:0005506	iron ion binding	15	1	0.2	0.186
GO:0008173	RNA methyltransferase activity	15	1	0.2	0.186
GO:0008168	methyltransferase activity	60	2	0.81	0.194
GO:0016763	transferase activity, transferring pento...	16	1	0.22	0.197
GO:0008483	transaminase activity	18	1	0.24	0.219
GO:0016769	transferase activity, transferring nitro...	18	1	0.24	0.219
GO:0008094	DNA-dependent ATPase activity	18	1	0.24	0.219
GO:0008135	translation factor activity, RNA binding	19	1	0.26	0.230
GO:0016741	transferase activity, transferring one-c...	68	2	0.92	0.234
GO:0008757	S-adenosylmethionine-dependent methyltra...	20	1	0.27	0.241
GO:0003824	catalytic activity	913	14	12.38	0.261
GO:0003677	DNA binding	134	3	1.82	0.270
GO:0060089	molecular transducer activity	23	1	0.31	0.272
GO:0016740	transferase activity	331	6	4.49	0.277
GO:0046914	transition metal ion binding	78	2	1.06	0.286
GO:0097159	organic cyclic compound binding	545	9	7.39	0.287
GO:1901363	heterocyclic compound binding	545	9	7.39	0.287
GO:0070279	vitamin B6 binding	25	1	0.34	0.292
GO:0030170	pyridoxal phosphate binding	25	1	0.34	0.292
GO:0048037	cofactor binding	140	3	1.9	0.293
GO:0050662	coenzyme binding	81	2	1.1	0.302
GO:0043168	anion binding	345	6	4.68	0.314
GO:0016787	hydrolase activity	355	6	4.81	0.342
GO:0016887	ATPase activity	89	2	1.21	0.343
GO:0008144	drug binding	293	5	3.97	0.363
GO:0019842	vitamin binding	33	1	0.45	0.367
GO:0032553	ribonucleotide binding	295	5	4	0.369
GO:0043167	ion binding	507	8	6.87	0.372
GO:0097367	carbohydrate derivative binding	306	5	4.15	0.403
GO:0036094	small molecule binding	382	6	5.18	0.420
GO:0005524	ATP binding	244	4	3.31	0.429
GO:0032559	adenyl ribonucleotide binding	245	4	3.32	0.433
GO:0016757	transferase activity, transferring glyco...	41	1	0.56	0.434
GO:0030554	adenyl nucleotide binding	247	4	3.35	0.439
GO:0003723	RNA binding	110	2	1.49	0.448
GO:0140101	catalytic activity, acting on a tRNA	43	1	0.58	0.450
GO:0016773	phosphotransferase activity, alcohol gro...	44	1	0.6	0.458
GO:0003676	nucleic acid binding	258	4	3.5	0.477
GO:0008270	zinc ion binding	47	1	0.64	0.480
