GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0097237	cellular response to toxic substance	10	3	0.29	0.0022
GO:0042592	homeostatic process	11	3	0.32	0.0030
GO:0006979	response to oxidative stress	13	3	0.37	0.0050
GO:0072522	purine-containing compound biosynthetic ...	56	5	1.61	0.0189
GO:0006820	anion transport	10	2	0.29	0.0311
GO:0046390	ribose phosphate biosynthetic process	66	5	1.89	0.0360
GO:0009156	ribonucleoside monophosphate biosyntheti...	50	4	1.44	0.0508
GO:0006091	generation of precursor metabolites and ...	50	4	1.44	0.0508
GO:0009152	purine ribonucleotide biosynthetic proce...	51	4	1.46	0.0540
GO:0006164	purine nucleotide biosynthetic process	54	4	1.55	0.0643
GO:0009124	nucleoside monophosphate biosynthetic pr...	55	4	1.58	0.0680
GO:0006163	purine nucleotide metabolic process	105	6	3.01	0.0720
GO:0051179	localization	132	7	3.79	0.0734
GO:0034654	nucleobase-containing compound biosynthe...	218	10	6.26	0.0756
GO:0006139	nucleobase-containing compound metabolic...	377	15	10.82	0.0818
GO:1901137	carbohydrate derivative biosynthetic pro...	111	6	3.19	0.0895
GO:0009165	nucleotide biosynthetic process	85	5	2.44	0.0896
GO:0018130	heterocycle biosynthetic process	255	11	7.32	0.0898
GO:0071496	cellular response to external stimulus	18	2	0.52	0.0917
GO:0031668	cellular response to extracellular stimu...	18	2	0.52	0.0917
GO:0033554	cellular response to stress	61	4	1.75	0.0923
GO:0072521	purine-containing compound metabolic pro...	112	6	3.21	0.0926
GO:1901293	nucleoside phosphate biosynthetic proces...	86	5	2.47	0.0932
GO:0009168	purine ribonucleoside monophosphate bios...	39	3	1.12	0.0974
GO:0009127	purine nucleoside monophosphate biosynth...	39	3	1.12	0.0974
GO:0009991	response to extracellular stimulus	19	2	0.55	0.1007
GO:0019693	ribose phosphate metabolic process	116	6	3.33	0.1057
GO:0009260	ribonucleotide biosynthetic process	64	4	1.84	0.1058
GO:0046483	heterocycle metabolic process	423	16	12.14	0.1059
GO:1901068	guanosine-containing compound metabolic ...	20	2	0.57	0.1100
GO:0070925	organelle assembly	20	2	0.57	0.1100
GO:1901362	organic cyclic compound biosynthetic pro...	264	11	7.58	0.1101
GO:0022900	electron transport chain	21	2	0.6	0.1195
GO:1901360	organic cyclic compound metabolic proces...	433	16	12.43	0.1272
GO:0048870	cell motility	23	2	0.66	0.1390
GO:0006754	ATP biosynthetic process	23	2	0.66	0.1390
GO:0055085	transmembrane transport	71	4	2.04	0.1408
GO:0006310	DNA recombination	24	2	0.69	0.1490
GO:0009145	purine nucleoside triphosphate biosynthe...	24	2	0.69	0.1490
GO:0051674	localization of cell	24	2	0.69	0.1490
GO:0009206	purine ribonucleoside triphosphate biosy...	24	2	0.69	0.1490
GO:0009150	purine ribonucleotide metabolic process	101	5	2.9	0.1561
GO:0009201	ribonucleoside triphosphate biosynthetic...	26	2	0.75	0.1694
GO:0009064	glutamine family amino acid metabolic pr...	26	2	0.75	0.1694
GO:0019438	aromatic compound biosynthetic process	256	10	7.35	0.1766
GO:0090407	organophosphate biosynthetic process	106	5	3.04	0.1805
GO:0055086	nucleobase-containing small molecule met...	166	7	4.76	0.1863
GO:0006260	DNA replication	28	2	0.8	0.1904
GO:0006810	transport	109	5	3.13	0.1958
GO:0006725	cellular aromatic compound metabolic pro...	426	15	12.23	0.1976
GO:0006928	movement of cell or subcellular componen...	29	2	0.83	0.2010
GO:0009142	nucleoside triphosphate biosynthetic pro...	29	2	0.83	0.2010
GO:0051234	establishment of localization	111	5	3.19	0.2062
GO:0009117	nucleotide metabolic process	142	6	4.08	0.2133
GO:0009259	ribonucleotide metabolic process	113	5	3.24	0.2169
GO:0006753	nucleoside phosphate metabolic process	143	6	4.1	0.2181
GO:0009161	ribonucleoside monophosphate metabolic p...	86	4	2.47	0.2288
