GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0051539	4 iron, 4 sulfur cluster binding	17	2	0.32	0.039
GO:0051540	metal cluster binding	45	3	0.84	0.049
GO:0051536	iron-sulfur cluster binding	45	3	0.84	0.049
GO:0016765	transferase activity, transferring alkyl...	22	2	0.41	0.062
GO:0003723	RNA binding	108	4	2.03	0.136
GO:0016879	ligase activity, forming carbon-nitrogen...	35	2	0.66	0.138
GO:0030246	carbohydrate binding	38	2	0.71	0.157
GO:0019843	rRNA binding	39	2	0.73	0.164
GO:0008137	NADH dehydrogenase (ubiquinone) activity	10	1	0.19	0.173
GO:0050136	NADH dehydrogenase (quinone) activity	10	1	0.19	0.173
GO:0016655	oxidoreductase activity, acting on NAD(P...	10	1	0.19	0.173
GO:0003954	NADH dehydrogenase activity	11	1	0.21	0.189
GO:0043021	ribonucleoprotein complex binding	13	1	0.24	0.219
GO:0003735	structural constituent of ribosome	47	2	0.88	0.219
GO:0050661	NADP binding	15	1	0.28	0.249
GO:0044877	protein-containing complex binding	15	1	0.28	0.249
GO:0016763	transferase activity, transferring pento...	15	1	0.28	0.249
GO:0048037	cofactor binding	137	4	2.57	0.250
GO:0008168	methyltransferase activity	52	2	0.98	0.255
GO:0005198	structural molecule activity	52	2	0.98	0.255
GO:0016651	oxidoreductase activity, acting on NAD(P...	17	1	0.32	0.277
GO:0000049	tRNA binding	18	1	0.34	0.291
GO:0016741	transferase activity, transferring one-c...	59	2	1.11	0.305
GO:0051287	NAD binding	20	1	0.38	0.318
GO:0016740	transferase activity	303	7	5.69	0.332
GO:0016830	carbon-carbon lyase activity	22	1	0.41	0.343
GO:0003924	GTPase activity	22	1	0.41	0.343
GO:0004386	helicase activity	23	1	0.43	0.356
GO:0017111	nucleoside-triphosphatase activity	124	3	2.33	0.417
GO:0016874	ligase activity	77	2	1.45	0.430
GO:0016462	pyrophosphatase activity	131	3	2.46	0.454
GO:0016817	hydrolase activity, acting on acid anhyd...	131	3	2.46	0.454
GO:0016818	hydrolase activity, acting on acid anhyd...	131	3	2.46	0.454
GO:0005525	GTP binding	33	1	0.62	0.470
GO:0016779	nucleotidyltransferase activity	37	1	0.69	0.510
GO:0016757	transferase activity, transferring glyco...	38	1	0.71	0.519
GO:0000287	magnesium ion binding	39	1	0.73	0.528
GO:0016491	oxidoreductase activity	147	3	2.76	0.535
GO:0019001	guanyl nucleotide binding	42	1	0.79	0.555
GO:0032561	guanyl ribonucleotide binding	42	1	0.79	0.555
GO:0003676	nucleic acid binding	259	5	4.86	0.557
GO:0005215	transporter activity	49	1	0.92	0.613
GO:0005488	binding	758	14	14.23	0.642
GO:0032550	purine ribonucleoside binding	53	1	0.99	0.642
GO:0001883	purine nucleoside binding	53	1	0.99	0.642
GO:0032549	ribonucleoside binding	55	1	1.03	0.656
GO:0001882	nucleoside binding	55	1	1.03	0.656
GO:0016829	lyase activity	60	1	1.13	0.689
GO:0005515	protein binding	78	1	1.46	0.784
GO:0050662	coenzyme binding	81	1	1.52	0.797
GO:0003824	catalytic activity	861	15	16.16	0.810
GO:0016887	ATPase activity	87	1	1.63	0.820
GO:0046872	metal ion binding	230	3	4.32	0.839
GO:0043169	cation binding	235	3	4.41	0.851
GO:0097159	organic cyclic compound binding	539	8	10.12	0.876
GO:1901363	heterocyclic compound binding	539	8	10.12	0.876
GO:0016772	transferase activity, transferring phosp...	109	1	2.05	0.886
GO:0035639	purine ribonucleoside triphosphate bindi...	262	3	4.92	0.902
GO:1901265	nucleoside phosphate binding	327	4	6.14	0.904
GO:0000166	nucleotide binding	327	4	6.14	0.904
GO:0016787	hydrolase activity	332	4	6.23	0.911
GO:0032555	purine ribonucleotide binding	268	3	5.03	0.911
GO:0017076	purine nucleotide binding	270	3	5.07	0.914
GO:0032553	ribonucleotide binding	284	3	5.33	0.932
GO:0003677	DNA binding	140	1	2.63	0.941
GO:0097367	carbohydrate derivative binding	293	3	5.5	0.942
GO:0043167	ion binding	487	6	9.14	0.950
GO:0036094	small molecule binding	371	4	6.96	0.954
GO:0005524	ATP binding	234	2	4.39	0.954
GO:0032559	adenyl ribonucleotide binding	235	2	4.41	0.955
GO:0030554	adenyl nucleotide binding	237	2	4.45	0.957
GO:0043168	anion binding	333	3	6.25	0.973
GO:0008144	drug binding	280	2	5.25	0.982
GO:0003674	molecular_function	1119	21	21	1.000
GO:0000155	phosphorelay sensor kinase activity	14	0	0.26	1.000
GO:0001871	pattern binding	23	0	0.43	1.000
GO:0003678	DNA helicase activity	13	0	0.24	1.000
GO:0003690	double-stranded DNA binding	14	0	0.26	1.000
GO:0003700	DNA-binding transcription factor activit...	20	0	0.38	1.000
GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	11	0	0.21	1.000
GO:0004175	endopeptidase activity	17	0	0.32	1.000
GO:0004518	nuclease activity	37	0	0.69	1.000
GO:0004519	endonuclease activity	23	0	0.43	1.000
GO:0004527	exonuclease activity	14	0	0.26	1.000
GO:0004553	hydrolase activity, hydrolyzing O-glycos...	40	0	0.75	1.000
GO:0004672	protein kinase activity	25	0	0.47	1.000
GO:0004673	protein histidine kinase activity	15	0	0.28	1.000
GO:0004812	aminoacyl-tRNA ligase activity	24	0	0.45	1.000
GO:0004888	transmembrane signaling receptor activit...	10	0	0.19	1.000
GO:0005506	iron ion binding	14	0	0.26	1.000
GO:0008080	N-acetyltransferase activity	15	0	0.28	1.000
GO:0008094	DNA-dependent ATPase activity	18	0	0.34	1.000
GO:0008135	translation factor activity, RNA binding	18	0	0.34	1.000
GO:0008173	RNA methyltransferase activity	14	0	0.26	1.000
GO:0008233	peptidase activity	44	0	0.83	1.000
GO:0008236	serine-type peptidase activity	12	0	0.23	1.000
GO:0008270	zinc ion binding	42	0	0.79	1.000
GO:0008324	cation transmembrane transporter activit...	24	0	0.45	1.000
GO:0008483	transaminase activity	17	0	0.32	1.000
GO:0008649	rRNA methyltransferase activity	10	0	0.19	1.000
