GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0006364	rRNA processing	21	2	0.21	0.017
GO:0016072	rRNA metabolic process	23	2	0.23	0.020
GO:0034660	ncRNA metabolic process	73	3	0.72	0.029
GO:0042254	ribosome biogenesis	34	2	0.33	0.041
GO:0022613	ribonucleoprotein complex biogenesis	36	2	0.35	0.046
GO:0009451	RNA modification	38	2	0.37	0.051
GO:0016070	RNA metabolic process	159	4	1.56	0.056
GO:0006091	generation of precursor metabolites and ...	45	2	0.44	0.069
GO:0034470	ncRNA processing	45	2	0.44	0.069
GO:0046034	ATP metabolic process	52	2	0.51	0.089
GO:0032259	methylation	53	2	0.52	0.092
GO:0051701	interaction with host	10	1	0.1	0.094
GO:0031167	rRNA methylation	10	1	0.1	0.094
GO:0006139	nucleobase-containing compound metabolic...	364	6	3.58	0.103
GO:0006396	RNA processing	57	2	0.56	0.104
GO:0006096	glycolytic process	12	1	0.12	0.112
GO:0042866	pyruvate biosynthetic process	12	1	0.12	0.112
GO:0006757	ATP generation from ADP	12	1	0.12	0.112
GO:0044403	symbiont process	12	1	0.12	0.112
GO:0000154	rRNA modification	13	1	0.13	0.121
GO:0046031	ADP metabolic process	14	1	0.14	0.130
GO:0006165	nucleoside diphosphate phosphorylation	14	1	0.14	0.130
GO:0015980	energy derivation by oxidation of organi...	14	1	0.14	0.130
GO:0009205	purine ribonucleoside triphosphate metab...	69	2	0.68	0.143
GO:0009144	purine nucleoside triphosphate metabolic...	69	2	0.68	0.143
GO:0009199	ribonucleoside triphosphate metabolic pr...	70	2	0.69	0.147
GO:0009135	purine nucleoside diphosphate metabolic ...	16	1	0.16	0.147
GO:0051260	protein homooligomerization	16	1	0.16	0.147
GO:0044419	interspecies interaction between organis...	16	1	0.16	0.147
GO:0046939	nucleotide phosphorylation	16	1	0.16	0.147
GO:0009179	purine ribonucleoside diphosphate metabo...	16	1	0.16	0.147
GO:0009167	purine ribonucleoside monophosphate meta...	71	2	0.7	0.150
