GO.ID	Term	Annotated	Significant	Expected	Rank in elimKS	classicKS	elimKS	weight01KS
GO:0040011	locomotion	50	27	13.6	7	3.5e-06	0.0084	0.4783
GO:0001539	cilium or flagellum-dependent cell motil...	25	16	6.8	10	1.5e-05	0.0123	0.0712
GO:0048870	cell motility	26	16	7.07	22	4.3e-05	0.0291	0.5534
GO:0051674	localization of cell	27	16	7.34	18	4.9e-05	0.0161	0.4840
GO:0006082	organic acid metabolic process	196	70	53.31	336	0.00013	0.6123	0.3714
GO:0097588	archaeal or bacterial-type flagellum-dep...	22	15	5.98	44	0.00014	0.0689	0.0689
GO:0044781	bacterial-type flagellum organization	13	8	3.54	24	0.00015	0.0293	0.0293
GO:0019752	carboxylic acid metabolic process	192	69	52.22	4	0.00015	0.0055	1.0000
GO:0043436	oxoacid metabolic process	193	69	52.5	548	0.00020	0.8918	0.8918
GO:0030030	cell projection organization	15	9	4.08	30	0.00025	0.0512	1.0000
GO:0071973	bacterial-type flagellum-dependent cell ...	20	13	5.44	1	0.00060	0.0006	0.0006
GO:0006928	movement of cell or subcellular componen...	32	16	8.7	93	0.00093	0.1720	0.7059
GO:0016053	organic acid biosynthetic process	125	45	34	9	0.00133	0.0118	0.3522
GO:0046394	carboxylic acid biosynthetic process	124	45	33.73	12	0.00201	0.0141	1.0000
GO:0016054	organic acid catabolic process	6	5	1.63	699	0.00334	1.0000	1.0000
GO:0046395	carboxylic acid catabolic process	6	5	1.63	2	0.00334	0.0033	0.0033
GO:0006520	cellular amino acid metabolic process	130	46	35.36	11	0.00374	0.0125	0.7057
GO:0042330	taxis	26	13	7.07	133	0.00442	0.2209	0.2209
GO:0044780	bacterial-type flagellum assembly	9	6	2.45	3	0.00459	0.0046	0.0046
GO:0044281	small molecule metabolic process	353	111	96.02	426	0.00670	0.7433	0.0886
GO:0030031	cell projection assembly	11	7	2.99	294	0.00680	0.5553	0.5553
GO:0006935	chemotaxis	25	12	6.8	5	0.00811	0.0081	0.0081
GO:0009073	aromatic amino acid family biosynthetic ...	26	7	7.07	6	0.00832	0.0083	0.0106
GO:0009072	aromatic amino acid family metabolic pro...	28	8	7.62	279	0.00906	0.5372	1.0000
GO:0006631	fatty acid metabolic process	20	9	5.44	8	0.01170	0.0117	0.3403
GO:0008652	cellular amino acid biosynthetic process	88	31	23.94	29	0.01284	0.0509	0.5308
GO:0006553	lysine metabolic process	8	6	2.18	13	0.01420	0.0142	1.0000
GO:0009085	lysine biosynthetic process	8	6	2.18	14	0.01420	0.0142	0.1879
