Structure	Number
2-keto-3-deoxygluconate/2-keto-3-deoxy-6-phospho gluconate aldolase	1
glutaredoxin-c5, chloroplastic	3
glutaredoxin-1	2
2-keto-3-deoxy gluconate aldolase	1
light-independent protochlorophyllide reductase subunit n	1
methyl-viologen reducing hydrogenase subunit d	1
alpha subunit 2-hydroxyisocaproyl-coa dehydratase	2
peptide n-methyltransferase	6
nitrogenase molybdenum-iron protein alpha chain	11
dehydratase family protein	1
102aa long hypothetical periplasmic divalent cation tolerance protein cuta	1
nitrogenase protein alpha chain	1
beta subunit 2-hydroxyacyl-coa dehydratase	2
protein (nitrogenase molybdenum iron protein)	1
nitrogenase molybdenum iron protein (alpha chain)	2
50s ribosomal protein l18p	2
periplasmic divalent cation tolerance protein cuta	2
predicted methyltransferase	1
uncharacterized peptidase lmo0363	2
nitrogenase mofe cofactor biosynthesis protein nife	2
cuta1	2
ribosomal rna small subunit methyltransferase i	2
divalent-cation tolerance protein cuta	1
