Structure	Number
phosphatidylinositol 3-kinase regulatory subunit alpha	10
seryl-trna synthetase	2
membrane-bound lytic murein transglycosylase	1
spike glycoprotein	1
membrane-bound lytic murein transglycosylase a	8
putative transglycosylase	2
nucleoporin nup62	1
xrcc4-myh7-(1562-1622) chimera protein	4
peptidoglycan endopeptidase ripa	1
rho-associated protein kinase 1	3
dna-binding protein h-ns	2
uncharacterized protein yuic	2
nuclear distribution protein nude-like 1	6
capsid assembly scaffolding protein,myosin-7,microtubule-associated protein rp/eb family member 1	1
yuic	4
gna33	2
