Genes	LL1210_T1	LL1210_T2	LL1210_T3	LL1210_T4
ADU73149.1	-1.39303550511	-0.287181994546	0.308407160393	1.37181033927
ADU73379.1	-0.409261421508	-0.721407341961	-0.590708569346	1.72137733282
ADU73504.1	-0.0125248631071	1.49237566802	-0.157826273914	-1.322024531
ADU73598.1	-0.761855378072	1.70028638562	-0.679306212521	-0.25912479503
ADU73719.1	-1.07168296043	1.40479461882	0.474757675575	-0.807869333964
ADU73753.1	0.351094873721	0.975821617634	0.347519220117	-1.67443571147
ADU73817.1	0.707150170364	-0.720879787977	-1.21382694521	1.22755656282
ADU73859.1	-1.58558931231	1.16293855573	0.0627258876147	0.359924868968
ADU73917.1	1.40394444916	0.111725062285	-1.41655717836	-0.0991123330774
ADU73938.1	-1.58976514306	-0.0749140323275	1.03415175182	0.630527423569
ADU73992.1	0.0260484192925	1.54678755577	-1.21645475047	-0.356381224591
ADU74011.1	1.62031059381	-1.11706742852	-0.259593345596	-0.24364981969
ADU74051.1	0.170700675745	-0.0324628103352	-1.47628853718	1.33805067177
ADU74165.1	-1.44687728331	-0.30424327613	0.500880049969	1.25024050947
ADU74168.1	1.15914479577	0.813889056065	-0.832347122397	-1.14068672943
ADU74289.1	-0.191779529794	-1.55324348014	0.753973218431	0.991049791504
ADU74300.1	0.299859002799	0.983831202227	-1.67097834771	0.38728814268
ADU74371.1	0.765054217707	-0.121582757808	-1.58523917615	0.941767716251
ADU74393.1	1.66157153263	-0.238285035476	-1.00278587457	-0.42050062258
ADU74510.1	0.00365917818167	1.61896829783	-0.634581881673	-0.988045594338
ADU74579.1	-1.41466149634	-0.433836504097	0.698365944527	1.15013205591
ADU74599.1	0.8165330367	-1.70226612557	0.295723271849	0.590009817025
ADU74708.1	1.20911113233	0.714183392528	-0.662932149968	-1.26036237489
ADU74726.1	1.61846176411	-0.731381519975	-0.919043492502	0.0319632483671
ADU74909.1	0.798038689345	0.698432837766	-1.68514886137	0.188677334259
ADU74998.1	0.345720791529	-0.10057581614	1.26312473934	-1.50826971473
ADU75314.1	-1.60982787111	0.904131514015	-0.0606713231418	0.766367680237
ADU75526.1	-0.228036497689	-0.537607259988	-0.914458470179	1.68010222786
ADU75560.1	-0.216909892099	1.3964545493	0.218683604425	-1.39822826163
ADU75615.1	0.858003822916	0.629823114323	0.194259699547	-1.68208663679
ADU75701.1	-1.44692272906	-0.411354514847	1.00195661977	0.856320624138
ADU75721.1	-1.25832445958	-0.0796553975118	-0.20140639586	1.53938625295
ADU75724.1	1.16655806165	0.181007375418	-1.59530654222	0.247741105153
ADU75731.1	1.27970206501	0.4436575361	-0.278350366137	-1.44500923497
ADU75877.1	-0.348792307079	-1.33586422289	1.42317974882	0.261476781142
ADU75920.1	-0.479028391219	-0.704567628799	1.72618473586	-0.542588715837
WP_003511511.1	1.31931633749	0.291231740185	-0.142833128306	-1.46771494937
WP_003511531.1	-1.05360364377	0.645835899004	1.29697080547	-0.889203060701
WP_003511544.1	-1.73144603046	0.592524433833	0.5345449187	0.604376677924
WP_003511546.1	-0.759121917691	-0.723646728855	-0.207501311646	1.69026995819
WP_003511547.1	0.145918240673	-0.087042440954	-1.43823140861	1.37935560889
WP_003511548.1	1.1103129315	-0.182723213168	-1.53701573083	0.609426012493
WP_003511549.1	0.497006635423	1.31910828021	-1.33455543908	-0.481559476545
WP_003511558.1	0.69251100534	-1.5527409179	-0.177925502139	1.0381554147
WP_003511560.1	-1.60850324742	0.140499821663	1.13115412327	0.336849302486
WP_003511564.1	-1.05421733055	-0.918500745574	1.2090403085	0.763677767621
WP_003511571.1	-1.11331633709	0.648515452756	1.28879395551	-0.823993071177
WP_003511573.1	-0.702794150157	1.36121522954	0.518260498901	-1.17668157828
WP_003511577.1	0.0943832616125	-1.48386171508	0.0528977260066	1.33658072746
WP_003511583.1	0.549137313877	-1.6349884094	0.0761682174338	1.00968287809
WP_003511587.1	-1.16494870947	-0.135141307155	-0.293224387395	1.59331440402
WP_003511591.1	0.45801329291	-0.423318435694	-1.36092910811	1.32623425089
WP_003511596.1	-0.801782162689	-1.15197479191	0.730386769966	1.22337018463
WP_003511598.1	-1.10017603096	-0.826385417604	1.31745605863	0.609105389937
WP_003511600.1	1.43437098881	0.215563102803	-0.307776963794	-1.34215712781
WP_003511604.1	-0.0640492472888	-1.18793246638	-0.322951987478	1.57493370115
WP_003511606.1	-0.832911404578	-0.901149209305	1.57084334617	0.16321726771
WP_003511607.1	-0.148219128252	-1.4447495617	0.23883070228	1.35413798767
WP_003511610.1	-1.09912872294	0.221023013073	-0.646656604185	1.52476231405
WP_003511612.1	-1.46697281119	0.758835848545	-0.360574767882	1.06871173053
WP_003511613.1	-1.69973948257	0.258408349182	0.772593875055	0.668737258335
WP_003511615.1	0.49722675119	-0.449332415091	-1.35618569867	1.30829136257
WP_003511616.1	0.728662439811	-0.111011543801	-1.5867106485	0.969059752488
WP_003511628.1	0.162180672181	-0.0264481864681	-1.47566350617	1.33993102045
WP_003511635.1	-0.284889962113	-0.140724153695	1.59274559535	-1.16713147954
WP_003511639.1	-0.703593315158	-1.23343211833	0.736599056785	1.2004263767
WP_003511651.1	-1.3578982766	-0.559458966381	1.00862127219	0.9087359708
WP_003511653.1	1.4341949223	0.276199680264	-0.405712144002	-1.30468245856
WP_003511658.1	-1.49992720452	-0.315008827601	0.862794649694	0.952141382428
WP_003511665.1	-0.934327571223	-1.00665950232	0.631411521479	1.30957555207
WP_003511674.1	-1.5640167982	-0.17022752783	0.969768041049	0.764476284977
WP_003511675.1	0.61254883354	-1.31068502464	1.26098684797	-0.562850656869
WP_003511677.1	0.0238730291469	-0.0438521649644	1.42372707593	-1.40374794011
WP_003511680.1	1.02190423869	-0.143674128518	-1.56814681029	0.689916700121
WP_003511686.1	-1.07639116781	-0.602723450584	1.57044496989	0.108669648501
WP_003511688.1	1.40959561615	0.2716151885	-0.327755276334	-1.35345552832
WP_003511692.1	-0.637933186374	1.72512701239	-0.657576808563	-0.429617017454
WP_003511696.1	-1.47732722854	-0.282896006587	1.18693501181	0.57328822332
WP_003511705.1	-0.407238276828	-0.757198330456	1.71862742188	-0.5541908146
WP_003511707.1	1.18586944208	-0.176000912797	-1.51805324132	0.508184712045
WP_003511713.1	0.907178555501	-0.0149620249839	-1.62483173529	0.732615204768
WP_003511715.1	-0.508362998348	-1.19583634432	0.196586589938	1.50761275273
WP_003511737.1	1.63233860964	-0.89622366605	-0.00658741854911	-0.729527525044
WP_003511746.1	1.44920201509	-1.37738784498	-0.0402433532005	-0.0315708169051
WP_003511753.1	0.545002385151	-0.799539304551	1.35838883947	-1.10385192007
WP_003511777.1	1.2707153907	0.263652661478	-0.0126553618974	-1.52171269028
WP_003511787.1	-0.517509953873	-1.17109088666	0.160544914438	1.52805592609
WP_003511862.1	0.751253922232	1.15244304459	-0.567490900846	-1.33620606598
WP_003511911.1	0.309445835209	1.20060992944	0.0581894521698	-1.56824521682
WP_003511913.1	-0.353950021766	0.371369240867	1.35815771291	-1.37557693201
WP_003511915.1	-0.313070350435	-1.49474809417	1.03354588052	0.774272564089
