Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	PUF
WP_003512676.1	7.22041366071428	27.3557891071429	28.599192886765	2.40415393379111e-19	4.71214171023058e-16	31.7345397417091	No
WP_003520976.1	-5.69945660714286	22.3608362117347	-18.7770257454836	2.37068825972038e-15	2.32327449452597e-12	24.4345365705052	No
WP_003521161.1	8.57822142857142	26.3897292219388	17.0732114640864	1.80122478842759e-14	1.17680019510602e-11	22.6587753808377	No
WP_003512674.1	5.029579375	30.3108709183673	16.4536833666198	3.93328652818951e-14	1.85904269690728e-11	21.9622626695564	No
WP_003515609.1	-10.1023692857143	24.2003389158163	-16.3081685241118	4.74245585945734e-14	1.85904269690728e-11	21.7944496036266	No
WP_003515661.1	-7.66111455357143	23.2203665688776	-13.6645691485931	1.85639468638707e-12	6.06422264219777e-10	18.4366819684834	No
WP_003516547.1	-8.05398125	23.5116335714286	-13.1796261450854	3.86794787080355e-12	1.08302540382499e-09	17.7506368899897	No
WP_003517617.1	-2.77385589285715	27.1258405739796	-12.8426630063016	6.52282319837986e-12	1.43728305685266e-09	17.2597783576963	No
WP_003514917.1	8.53051285714286	24.9247962882653	12.8305834374325	6.64747129570037e-12	1.43728305685266e-09	17.2419609732554	Yes
WP_003518003.1	-5.65847205357143	22.4056988137755	-12.7120272217937	8.01046297099136e-12	1.43728305685266e-09	17.0662676256832	No
WP_003515607.1	-6.89881383928572	22.9693898341837	-12.7076214134734	8.06638450274454e-12	1.43728305685266e-09	17.0597095839306	Yes
WP_003520602.1	-3.25757776785714	25.9067272831633	-12.4281075200665	1.25894685152896e-11	2.0562798574973e-09	16.6393708288404	No
WP_003517377.1	3.13016517857143	29.4088674617347	11.5098922453458	5.73948612232552e-11	8.65337907673694e-09	15.1970824397785	No
WP_003515619.1	7.19860303571429	23.7104843112245	11.3061961911782	8.1320032973003e-11	1.13848046162204e-08	14.8638388481734	Yes
WP_003518002.1	-8.81559553571429	23.805335	-11.2500970207077	8.95807355616641e-11	1.17052161133908e-08	14.7711861638685	No
WP_003514910.1	2.86669482142857	26.2218754209184	11.0927204146618	1.177289311097e-10	1.44217940609382e-08	14.5092244596223	No
WP_003514245.1	2.94892946428571	28.8745611096939	10.7099271502946	2.31482376069488e-10	2.66885562997763e-08	13.8592873787276	Yes
WP_003519383.1	2.80435089285714	27.4792283163265	10.5309414801954	3.19370185944756e-10	3.47758646917623e-08	13.5490720006078	No
WP_003517381.1	2.99779267857143	29.3778845153061	10.0236531922917	8.11523517723993e-10	8.37150576178435e-08	12.6473895006822	No
WP_003517583.1	5.34133696428571	22.8934136734694	9.92039490275821	9.84864602026119e-10	9.65167309985597e-08	12.4597111122322	No
WP_003512475.1	-2.3259725	27.7830013392857	-9.73902797343152	1.38808941774471e-09	1.2955501232284e-07	12.1266159249615	No
WP_003512684.1	-5.96950553571428	22.9260924234694	-9.41441174213917	2.59173929615115e-09	2.27794738106924e-07	11.519323127146	No
WP_003513101.1	-7.55424946428572	22.1905446173469	-9.39851827841785	2.67310151860166e-09	2.27794738106924e-07	11.4892200277818	No
WP_003519374.1	2.60034669642857	28.3041000637755	9.13348424328991	4.49701562959056e-09	3.67256276416562e-07	10.9820943913025	No
WP_003518813.1	-2.049955625	28.2149470535714	-8.74720294440993	9.75456392170906e-09	7.61327084919482e-07	10.2254464952564	No
WP_003514863.1	1.98011785714285	26.6259923086735	8.73010396816975	1.00992368407686e-08	7.61327084919482e-07	10.1914686408395	No
WP_003517539.1	-6.02734785714286	22.9561818112245	-8.69389085510989	1.08713176794064e-08	7.89177135245798e-07	10.1193723703149	No
WP_003516459.1	-5.53742839285715	22.1559282142857	-8.6090490238549	1.29279960899132e-08	9.04959726293921e-07	9.94973646130656	No
WP_003517208.1	2.08517223214285	27.130277627551	8.17653308967593	3.17370263291192e-08	2.14498522776116e-06	9.06909423479668	No
WP_003518492.1	-5.22078169642858	22.1383975637755	-8.12189037322455	3.56131472566545e-08	2.32672562076809e-06	8.95594712362091	No
WP_003517405.1	3.64775910714286	24.3085732780612	8.04424876238468	4.19773941617698e-08	2.65405459861513e-06	8.79444778005142	No
WP_003518751.1	2.51838991071428	26.0424860331633	7.95482292091205	5.07798720590089e-08	3.11026716361429e-06	8.60737677565937	No
WP_003516337.1	3.48490910714285	22.7410158673469	7.77663499674688	7.44413528685535e-08	4.42136520067772e-06	8.23124769676396	No
WP_003516239.1	2.50748017857143	25.4212155548469	7.73744848249292	8.10204487095828e-08	4.67059057267007e-06	8.14792915721477	No
