Structure	Number
anopheles plasmodium-responsive leucine-rich repeat protein 1	1
vacuolar protein sorting-associated protein 30	1
charged multivesicular body protein 1b	4
chromosome partition protein mukb	1
myosin-7	2
myosin-4	1
charged multivesicular body protein 3	6
gp7-myh7(1777-1855)-eb1 chimera protein	4
structural maintenance of chromosomes protein 2	1
myosin heavy chain, cardiac muscle beta isoform	6
septation ring formation regulator ezra	3
dhf58 filament	1
prefoldin subunit alpha	1
dynactin subunit 1	3
myosin 2 heavy chain chimera of smooth and cardiac muscle	2
capsid assembly scaffolding protein,myosin-7,microtubule-associated protein rp/eb family member 1	1
dhf38 filament	1
designed helical repeat protein	1
phage shock protein a	2
rab guanine nucleotide exchange factor sec2	2
gp7-myh7(1173-1238)-eb1 chimera protein	4
gp7-myh7(1361-1425)-eb1 chimera protein	2
